"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
201801,11868,112962,83564,2121,3823,75,645
201802,13988,136401,102873,2024,3765,30,699
201803,26462,206278,139807,2549,3100,34,668
201804,10736,108211,71855,1431,895,28,429
201805,13909,109515,74715,1673,1801,24,394
201806,16313,138298,94117,1849,1550,69,281
201807,11905,137053,91975,1648,2070,158,259
201808,11145,109141,76139,1591,2100,49,190
201809,18737,139249,101406,2511,2937,37,182
201810,11656,118766,93225,1654,1713,15,143
201811,15453,125243,95562,2256,2132,68,105
201812,15100,117914,79502,1933,579,19,105
201901,12023,109613,92137,1061,2866,3,59
201902,15698,133281,108283,1685,1901,97,62
201903,25807,183817,143244,1812,2479,30,65
201904,8671,107470,81578,745,1014,49,60
201905,12808,110761,86541,1180,1184,114,48
201906,15677,132410,96488,1796,1523,98,64
201907,12804,142367,99268,1688,1914,74,35
201908,11851,108605,78236,1394,1717,47,53
201909,23314,162317,109140,2810,2593,59,47
201910,9665,91016,62039,809,1091,29,23
201911,12913,115082,74999,1156,1605,46,13
201912,14463,110572,66751,1486,1434,44,15
202001,11074,107728,71980,1121,880,13,25
202002,13098,126267,89283,1256,3109,116,26
202003,20355,183266,115146,1635,1412,23,28
202004,6064,81899,55727,635,330,6,13
202005,6041,70923,45887,519,378,7,26
202006,10000,103548,66898,1022,646,3,11
202007,11271,116637,77820,946,767,8,24
202008,10436,94888,62525,744,719,24,5
202009,17314,135389,96234,1387,1887,155,5
202010,12777,126027,80305,1275,1019,71,13
202011,13862,121810,80469,1274,1565,57,3
202012,15211,112380,78001,2927,1892,278,7
202101,12494,109166,83620,1558,1091,345,5
202102,13947,118849,90598,1774,1429,350,7
202103,23794,171636,128175,2714,2656,241,23
202104,9004,100377,70864,1598,686,224,7
202105,9335,87986,65539,1512,1238,298,24
202106,12906,101511,79750,2316,1307,314,4
202107,9709,104807,94286,1743,1926,210,26
202108,9503,82148,80178,1398,2155,116,32
202109,12776,71004,81536,1829,2476,85,17
202110,8727,68133,70784,1302,1605,51,6
202111,8370,82901,93247,1981,2151,72,1
202112,12523,84611,88527,3052,2419,158,9
202201,9477,74942,91610,4037,1691,166,3
202202,13256,81978,84293,2756,2281,163,2
202203,17203,126830,132602,3543,4219,140,7
202204,6518,72246,70781,2269,1610,82,3
202205,6095,60554,65190,2953,1572,28,13
202206,9699,74770,78472,3306,3379,49,5
202207,9753,81999,88621,4147,2169,14,8
202208,9439,63410,76555,2863,2034,10,5
202209,13080,85894,104676,4623,3279,31,2
202210,9489,75084,97654,1932,1953,79,11
202211,10078,71259,106055,2184,3268,57,3
202212,11113,69784,92568,3159,4137,29,2
202301,11168,76297,108067,3272,3415,29,7
202302,13126,87786,128523,3623,3594,44,8
202303,19670,123772,175957,5570,5149,38,6
202304,10858,73789,101101,3958,3309,25,2
202305,9362,65125,98434,3569,3280,22,12
202306,12830,78451,126141,5171,4110,42,15
202307,11299,79815,122922,4907,2679,33,1
202308,9825,69826,96519,3957,3121,33,18
202309,13205,85278,128826,5670,4818,17,2
202310,10933,73397,122773,4178,3382,15,5
202311,10957,71477,134112,4661,3331,29,19
202312,12931,63431,116759,3607,3803,95,4
202401,7183,56329,124105,3410,2033,94,8
202402,8023,55632,131719,4622,2540,98,6
202403,11692,78603,169197,5353,3921,71,6
202404,6168,60188,110300,3040,1862,60,15
202405,7275,60369,104410,2505,2084,48,2
202406,11155,71744,122208,2650,3302,71,1
202407,9776,79213,134253,3683,2710,47,1
202408,8423,60130,106464,2647,2682,36,3
202409,11998,77381,144083,3166,3711,57,3
202410,10161,74979,140591,3004,2685,52,2
202411,10757,62809,140905,4829,3073,39,12
202412,8615,53751,114549,4223,3454,24,22
202501,9379,63943,137094,4173,2014,60,1
202502,10998,73163,144698,2989,2380,24,5
202503,13841,92383,173105,4851,4010,39,5
202504,7686,64718,113174,3346,2111,28,3
202505,7721,59354,104875,3137,2848,33,12
202506,10085,71410,127460,4082,4264,32,0
202507,8966,71846,133203,3597,2908,24,0
202508,7611,48773,98011,2786,2649,24,0
202509,11300,74927,134739,4018,4484,38,4
