"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Hydrogen","Others"
202003,44527,417261,276409,4012,5401,152,79
202006,22105,256370,168512,2176,1354,16,50
202009,39021,346914,236579,3077,3373,187,34
202012,41850,360217,238775,5476,4476,406,23
202103,50235,399651,302393,6046,5176,936,35
202106,31245,289874,216153,5426,3231,836,35
202109,31988,257959,256000,4970,6557,411,75
202112,29620,235645,252558,6335,6175,281,16
202203,39936,283750,308505,10336,8191,469,12
202206,22312,207570,214443,8528,6561,159,21
202209,32272,231303,269852,11633,7482,55,15
202212,30680,216127,296277,7275,9358,165,16
202303,43964,287855,412547,12465,12158,111,21
202306,33050,217365,325676,12698,10699,89,29
202309,34329,234919,348267,14534,10618,83,21
202312,34821,208305,373644,12446,10516,139,28
202403,26898,190564,425021,13385,8494,263,20
202406,24598,192301,336918,8195,7248,179,18
202409,18199,139343,240717,6330,5392,83,4
