"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201506,8554,106660,1224,135,96,49
201512,8638,111123,1510,105,155,15
201606,9379,108079,1845,175,265,3
201612,10633,118044,2437,260,453,7
201706,10903,117371,3179,320,955,1
201712,10192,125464,3134,452,1709,3
201806,9754,111023,4173,589,1867,5
201812,9189,109898,5738,696,2377,4
201906,8879,98048,7645,809,2354,4
201912,8601,102994,11205,923,2926,8
202006,5607,71067,9800,695,1724,2
202012,7090,79471,15174,836,2176,5
202106,8268,88819,18729,1024,2816,2
202112,7591,77241,20048,2576,6637,3
202206,8428,79544,23070,4516,6703,10
202212,6069,52004,29247,4731,12756,1
202306,6201,56132,41165,5146,11022,3
202312,3780,32596,47702,6795,14840,3
202406,4324,45845,37453,1825,2751,3
202412,4253,43159,38250,2687,4661,19
202506,1886,21117,18567,1264,2096,0
