"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201403,4618,46437,492,44,12,40
201406,4536,47747,484,82,22,10
201409,4062,52293,456,41,36,37
201412,3688,54453,481,49,38,14
201503,4126,53826,592,84,45,23
201506,4428,52834,632,51,51,26
201509,4353,56142,734,60,62,11
201512,4286,54983,776,45,93,4
201603,4519,54152,862,59,106,2
201606,4859,53928,983,116,159,1
201609,5175,57956,1241,133,200,2
201612,5458,60088,1196,127,253,5
201703,5314,59492,1648,140,403,0
201706,5589,57881,1531,180,552,1
201709,5050,61205,1282,210,713,1
201712,5142,64261,1852,242,996,2
201803,4749,57136,1821,264,739,4
201806,5005,53887,2352,325,1128,1
201809,4564,55903,2686,393,1176,1
201812,4626,53997,3052,303,1201,3
201903,4649,51050,3252,397,1064,2
201906,4230,47002,4394,412,1290,2
201909,4105,51951,5158,491,1689,7
201912,4496,51048,6047,432,1237,1
202003,3473,42419,5816,464,1146,1
202006,2135,28647,3985,231,578,1
202009,3655,41632,7474,437,1107,1
202012,3435,37839,7700,399,1070,4
202103,4105,43118,8688,527,1514,1
202106,4161,45701,10042,497,1302,1
202109,3508,36728,8998,1416,3395,1
202112,4083,40512,11050,1160,3242,2
202203,5368,53434,8722,1431,3934,10
202206,3060,26110,14349,3085,2769,0
202209,2623,26722,15017,2340,6360,1
202212,3446,25282,14231,2391,6396,0
202303,2780,24405,17223,1882,5378,1
202306,3421,31729,23942,3264,5644,2
202309,1864,14769,19536,2552,4833,1
202312,1916,17828,28167,4243,10007,2
202403,2432,24314,19240,930,1320,2
202406,1893,21530,18213,895,1431,1
202409,1902,22325,18450,1142,2223,2
202412,1783,14746,13864,798,1494,0
