"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
201412,55615,24127,499,47,164,156
201503,192770,95291,1504,47,207,681
201506,202059,109293,1739,123,167,1072
201509,165626,85780,2450,229,233,747
201512,175325,99398,2067,199,565,674
201603,190529,116605,6271,293,393,597
201606,217545,145997,7370,373,451,834
201609,167872,105945,7619,251,342,383
201612,181346,115939,9021,202,884,424
201703,191104,143127,12730,306,608,750
201706,211005,175560,14251,640,730,1130
201709,161477,126966,13681,877,1153,1500
201712,169487,154182,15049,1106,1644,2543
201803,164987,196007,16713,927,1273,3431
201806,179166,230784,21060,1519,1190,6598
201809,141887,174379,19094,970,1242,6591
201812,116971,169035,19054,1488,2789,6576
201903,120517,203189,22267,1409,2989,6612
201906,138229,243041,27250,1637,2937,9073
201909,102145,171466,24542,1211,2128,8210
201912,117968,175965,31662,1738,2761,4469
202003,86815,125982,28510,2964,4131,2803
202006,51664,66090,15899,1911,1302,1787
202009,103480,137283,39303,4888,4906,4760
202012,105391,117273,49309,10882,8291,5166
202103,71485,95347,39515,6155,3653,2814
202106,86034,136868,64302,10259,6144,3380
202109,63180,91770,48649,9147,5998,5025
202112,70666,93320,59083,11722,9232,4355
202203,54051,76344,46172,8967,7700,3342
202206,68956,116466,66213,10953,7435,4900
202209,60711,91398,55073,9178,7216,3608
202212,58629,94099,65208,11971,10175,4228
202303,54888,112274,70831,13154,12081,5654
202306,57621,127063,77772,15129,14581,6866
202309,44308,89566,65339,11909,11667,7000
202312,50209,98027,81907,16111,18589,9611
202403,48166,107350,87621,14550,12437,7841
202406,62608,131915,100394,14627,15072,8874
202409,46316,83043,84714,11363,14020,8374
202412,49461,102449,113581,16039,20786,10479
202503,46201,101190,121138,20923,21171,14581
202506,53473,114605,131657,36835,29432,17581
202509,29992,51695,66010,20712,17074,7469
