"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
202001,23917,46612,11695,1466,1619,4373
202002,26421,52603,11974,1210,1589,4283
202003,9338,20785,5763,628,739,1827
202004,1212,2477,312,61,86,140
202005,10720,17328,4681,748,368,2125
202006,24274,43383,11720,1450,775,4415
202007,31047,62954,18169,2391,1495,7375
202008,18383,34710,10152,1334,1200,4274
202009,20565,32787,11940,1969,2045,5369
202010,21315,33789,13065,2516,1807,6636
202011,21045,33002,15277,3037,1873,7629
202012,27651,43147,22677,6494,4324,12599
202101,10642,19408,9055,1435,495,3585
202102,13483,27872,13179,2156,926,5059
202103,18632,41835,18795,3551,2025,7967
202104,16100,38587,18147,3058,1444,7822
202105,19243,46824,22292,4458,1791,9128
202106,17622,44707,26358,4466,2572,9758
202107,15855,40587,20638,4034,1557,9197
202108,8064,20070,13767,2693,1301,6814
202109,10985,24188,16238,3951,2916,8092
202110,10381,23796,17353,4204,2378,8098
202111,12187,27073,18700,4396,2773,8645
202112,17970,32984,24904,4820,3502,10286
202201,7067,16226,13119,3208,1776,5509
202202,11095,26470,17154,3934,2384,7189
202203,11424,24721,16398,3307,3090,6431
202204,12187,30100,19199,4330,1924,8547
202205,14117,38333,24640,4764,2008,8788
202206,15813,39078,24769,4243,3153,9637
202207,12314,34080,20056,3630,2080,7557
202208,8956,22333,15534,2773,1401,5817
202209,12167,25489,20862,4174,3287,8299
202210,11552,26167,20608,3971,2694,7507
202211,10766,28415,24870,4820,3319,8742
202212,12136,29450,22463,4634,3405,9970
202301,8410,25868,20902,4107,2952,8459
202302,10029,31502,22620,4813,3297,9091
202303,13840,44976,28760,5955,4324,11070
202304,11150,32410,21973,4325,3436,8771
202305,11574,40534,27184,6009,4409,11812
202306,12282,43734,30499,6439,5474,12768
202307,9650,34418,26253,5176,3406,11234
202308,6676,21864,18885,3362,3583,7349
202309,8574,26287,23580,4931,3726,9891
202310,9223,28182,27474,4990,5055,11360
202311,8315,28426,26919,5509,6053,12395
202312,8922,29420,27926,6546,5896,13436
202401,7538,23988,26455,4578,3376,10539
202402,8275,32659,28631,5562,3806,11133
202403,8494,40316,33931,5560,4198,11235
202404,8994,40202,30482,5059,3840,11922
202405,9792,39820,34079,4787,4393,10243
202406,12029,40443,37532,5206,5533,11450
202407,8528,30139,34540,4416,3827,10456
202408,4858,18055,21266,3010,2696,7881
202409,6455,23482,29907,4068,6329,6140
202410,7638,27728,35165,5140,4769,6530
202411,6365,27760,35126,4881,5791,7225
202412,7483,34140,45182,6306,8818,8468
202501,4987,21322,32665,5243,5012,6012
202502,5167,27980,39800,6903,6112,7726
202503,6163,38465,49094,8373,8101,10952
202504,5581,31978,40741,9159,6807,8460
202505,5852,33640,44979,12902,8960,11087
202506,6589,34889,46639,13533,11243,10881
202507,5237,28153,40028,12311,8691,7599
202508,3271,14423,25468,7907,7032,5626
202509,4491,20084,35295,10369,10110,8015
202510,5463,22304,41796,12622,9065,9615
202511,4979,21154,41034,11999,9316,9494
202512,4904,23874,45253,12682,11179,8957
202601,3299,16533,35597,8740,6472,5478
202602,3927,22534,46592,12092,8889,6726
202603,4709,32727,61938,14862,11863,8232
202604,3973,25618,50237,13035,9723,7935
202605,4139,24744,53414,13741,12049,7852
