"YYYYMM","Diesel","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Others"
202003,59676,120000,29432,3304,3947,10483
202006,36206,63188,16713,2259,1229,6680
202009,69995,130451,40261,5694,4740,17018
202012,70011,109938,51019,12047,8004,26864
202103,42757,89115,41029,7142,3446,16611
202106,52965,130118,66797,11982,5807,26708
202109,34904,84845,50643,10678,5774,24103
202112,40538,83853,60957,13420,8653,27029
202203,29586,67417,46671,10449,7250,19129
202206,42117,107511,68608,13337,7085,26972
202209,33437,81902,56452,10577,6768,21673
202212,34454,84032,67941,13425,9418,26219
202303,32279,102346,72282,14875,10573,28620
202306,35006,116678,79656,16773,13319,33351
202309,24900,82569,68718,13469,10715,28474
202312,26460,86028,82319,17045,17004,37191
202403,24307,96963,89017,15700,11380,32907
202406,30815,120465,102093,15052,13766,33615
202409,19841,71676,85713,11494,12852,24477
202412,21486,89628,115473,16327,19378,22223
202503,16317,87767,121559,20519,19225,24690
202506,18022,100507,132359,35594,27010,30428
202509,12999,62660,100791,30587,25833,21240
202512,15346,67332,128083,37303,29560,28066
202603,11935,71794,144127,35694,27224,20436
202606,8112,50362,103651,26776,21772,15787
