"YYYYMM","Petrol","Non-plugin hybrid","Plugin hybrid","Battery electric","Other"
201801,89115,1049,0,0,2
201802,87839,1271,0,3,2
201803,93722,1536,0,1,1
201804,73858,1561,0,2,2
201805,89397,1896,0,10,0
201806,87586,2252,0,4,0
201807,77906,2017,0,22,0
201808,86994,2104,0,37,0
201809,78360,1826,0,2,0
201810,80680,1704,0,2,2
201811,78068,1646,0,5,3
201812,59225,1194,0,21,0
201901,107783,2391,0,8,2
201902,91044,2249,0,2,0
201903,97119,2284,0,1,0
201904,82545,1969,0,2,3
201905,91643,2320,0,22,3
201906,85197,2315,0,33,1
201907,84963,2110,0,4,2
201908,85811,2484,0,22,2
201909,78631,2394,0,42,2
201910,78151,2431,0,174,0
201911,66680,2133,0,234,2
201912,41999,1367,0,147,1
202001,88866,3115,0,265,0
202002,81168,2858,0,194,1
202003,85015,2812,0,121,4
202004,60707,1791,0,96,0
202005,50616,1418,0,63,2
202006,57335,1647,0,89,3
202007,57041,1739,0,57,9
202008,63926,2606,67,112,0
202009,64760,2622,255,62,0
202010,64189,2999,276,92,0
202011,63395,2752,272,72,0
202012,51027,2016,214,65,0
202101,82920,4056,464,156,0
202102,68853,3718,636,134,0
202103,80257,3848,755,173,0
202104,61199,2732,576,125,0
202105,70268,3041,704,155,0
202106,64776,2737,680,165,0
202107,46926,1815,309,113,0
202108,55635,2816,648,220,0
202109,54601,2367,603,256,0
202110,47288,2238,486,151,0
202111,56668,2756,646,175,0
202112,47177,2215,553,135,0
202201,74569,4335,722,264,0
202202,71624,5336,957,342,0
202203,87622,7257,1290,645,0
202204,63471,4684,837,394,0
202205,75296,5334,1056,519,0
202206,72009,5581,1085,877,0
202207,55627,4496,775,577,0
202208,67764,5756,987,1189,0
202209,76275,6675,1083,1066,0
202210,55624,4991,899,1236,0
202211,59802,5052,961,1319,0
202212,46359,4071,679,1246,0
202301,72308,7653,961,2968,0
202302,71637,7835,1249,5466,0
202303,72222,8766,1178,6226,0
202304,53461,6162,784,3822,0
202305,63969,7958,1025,5581,0
202306,60659,7429,1075,7640,0
202307,50648,5917,977,5090,0
202308,57277,7039,1269,6646,0
202309,50213,6178,1016,6901,0
202310,46343,6582,849,7734,2
202311,45154,7484,785,9015,2
202312,30954,5465,535,9272,4
202401,53095,14118,940,13660,1
202402,44817,11962,894,3669,4
202403,42798,11932,876,5004,9
202404,35492,10369,639,4095,2
202405,40928,10728,704,5465,1
202406,37672,12511,843,5786,4
202407,36946,11830,826,5844,3
202408,34821,10929,854,6609,3
202409,32893,9376,734,4684,2
202410,31038,8565,773,4930,4
202411,29730,8353,768,5449,3
202412,22451,5932,521,5387,5
202501,41367,13459,1074,12429,8
202502,34986,11996,1020,5193,1
202503,35443,12464,2038,7854,4
202504,27181,10347,3279,6273,3
202505,29136,11995,2395,12046,0
202506,28040,11334,1518,13477,2
202507,28299,11534,1276,10247,36
202508,25870,10524,1037,9850,12
