"Year","AFG production Eora 199.082 (2023)","AFG consumption Eora 199.082 (2023)","AFG net_trade Eora 199.082 (2023)"
1970,1.840000,1.328722,-0.511278
1971,2.070000,1.195068,-0.874932
1972,1.720000,0.359859,-1.360141
1973,1.810000,0.242642,-1.567358
1974,2.100000,0.560894,-1.539106
1975,2.330000,1.285381,-1.044619
1976,2.240000,1.499537,-0.740463
1977,2.630000,2.636065,0.006065
1978,2.390000,2.323345,-0.066655
1979,2.460000,2.710420,0.250420
1980,2,2.275215,0.275215
1981,2.210000,2.456392,0.246392
1982,2.340000,2.355146,0.015146
1983,2.760000,2.266623,-0.493377
1984,3.080000,2.274183,-0.805817
1985,3.760000,4.146707,0.386707
1986,3.410000,0.389442,-3.020558
1987,3.390000,0.136281,-3.253719
1988,3.120000,2.264526,-0.855474
1989,3.030000,3.509643,0.479643
1990,2.850000,3.290058,0.440058
1991,2.640000,3.163131,0.523131
1992,1.600000,1.511757,-0.088243
1993,1.530000,-2.182997,-3.712997
1994,1.410000,-0.344112,-1.754112
1995,1.360000,2.082721,0.722721
1996,1.290000,1.865386,0.575386
1997,1.210000,2.046750,0.836750
1998,1.150000,1.855584,0.705584
1999,0.935000,1.709618,0.774618
2000,0.934000,1.920427,0.986427
2001,0.996000,2.043758,1.047758
2002,1.250000,2.290713,1.040713
2003,1.380000,2.864762,1.484762
2004,1.130000,2.701402,1.571402
2005,1.510000,3.182172,1.672172
2006,1.820000,3.691511,1.871511
2007,2.430000,4.416697,1.986697
2008,4.360000,5.721280,1.361280
2009,6.930000,8.251992,1.321992
2010,8.640000,10.413690,1.773690
2011,12.400000,14.600240,2.200240
2012,11,13.254360,2.254360
2013,10.200000,12.440820,2.240820
2014,11.200000,13.175590,1.975590
2015,11.700000,13.858260,2.158260
2016,13.200000,16.698420,3.498420
2017,13.600000,17.049510,3.449510
2018,13.755920,17.607110,3.851190
2019,14.475760,19.540500,5.064740
2020,15.334110,20.674560,5.340450
2021,16.344650,21.351050,5.006400
2022,5.471631,11.393540,5.921909
