"Year","AGO production Eora 199.082 (2023)"
1970,3.610000
1971,3.430000
1972,4.530000
1973,4.900000
1974,4.900000
1975,4.440000
1976,3.310000
1977,3.560000
1978,5.430000
1979,5.520000
1980,5.360000
1981,5.300000
1982,4.670000
1983,5.140000
1984,5.020000
1985,4.710000
1986,4.670000
1987,5.830000
1988,5.090000
1989,4.960000
1990,5.130000
1991,5.110000
1992,5.210000
1993,5.800000
1994,3.910000
1995,11
1996,10.500000
1997,7.400000
1998,7.320000
1999,9.190000
2000,9.570000
2001,9.730000
2002,12.700000
2003,9.050000
2004,18.800000
2005,19.100000
2006,22.200000
2007,25.100000
2008,25.600000
2009,27.600000
2010,28.900000
2011,30.200000
2012,33.300000
2013,32.500000
2014,34.600000
2015,36.700000
2016,38
2017,38.800000
2018,38.407840
2019,39.045480
2020,39.950030
2021,41.187730
2022,40.402060
