"Year","ALB production Eora 199.082 (2023)","ALB production GCB 2023v26"
1970,2.120000,
1971,2.370000,
1972,2.960000,
1973,2.890000,
1974,2.510000,
1975,2.540000,
1976,2.730000,
1977,3.080000,
1978,3.520000,
1979,4.040000,
1980,3.030000,
1981,3.900000,
1982,3.840000,
1983,3.930000,
1984,4.070000,
1985,4.100000,
1986,4.210000,
1987,3.940000,
1988,3.850000,
1989,4.760000,
1990,3.950000,5.520602
1991,5.570000,4.290226
1992,3.360000,2.517116
1993,3.270000,2.337999
1994,3.520000,1.923806
1995,3.460000,2.089065
1996,3.360000,2.017508
1997,3.470000,1.543009
1998,4.210000,1.754709
1999,4.540000,2.986196
2000,3.210000,3.024926
2001,3.670000,3.220656
2002,3.870000,3.748272
2003,4.120000,4.303499
2004,4.390000,4.176684
2005,4.270000,4.261413
2006,4.180000,3.910715
2007,4.520000,3.948970
2008,4.600000,4.397043
2009,5.010000,4.406552
2010,5.260000,4.783865
2011,5.960000,5.314676
2012,5.560000,4.850060
2013,5.730000,5.287465
2014,6.470000,5.999650
2015,5.930000,4.712144
2016,6.160000,4.631979
2017,6.260000,5.293048
2018,6.424834,4.894953
2019,6.545845,4.826944
2020,6.599435,5.018921
2021,6.642830,4.896722
2022,6.915323,
