"Year","ARE production Eora 199.082 (2023)","ARE production GCB 2023v26","ARE consumption Eora 199.082 (2023)","ARE consumption GCB 2023v26"
1970,15.100000,,9.592094,
1971,21,,14.045480,
1972,23.200000,,16.930200,
1973,30.300000,,23.219240,
1974,30.900000,,25.738830,
1975,30.500000,,28.353080,
1976,38.800000,,38.998130,
1977,37.600000,,44.022990,
1978,43.400000,,48.182480,
1979,34.200000,,44.361000,
1980,34.300000,,47.095900,
1981,33.400000,,48.053580,
1982,33.100000,,46.525010,
1983,31.700000,,40.970570,
1984,42.600000,,45.310500,
1985,45.300000,,51.565250,
1986,42.400000,,33.608680,
1987,42.600000,,32.216360,
1988,42.800000,,35.662470,
1989,48.100000,,41.324200,
1990,46.400000,51.703774,38.902560,55.818403
1991,50.800000,56.673423,45.781320,61.191999
1992,51.800000,57.757056,50.087520,63.630825
1993,58.500000,65.565563,55.507500,69.252652
1994,64.600000,75.010505,65.848510,79.463673
1995,63.500000,72.463504,67.905380,79.191888
1996,53.300000,75.412154,64.926420,81.442756
1997,55.300000,72.919514,68.084630,80.424984
1998,76.100000,80.106302,81.527680,92.727560
1999,74.200000,77.316161,83.386030,79.757040
2000,105,111.813101,107.911300,92.523699
2001,101,101.417960,96.898050,96.773438
2002,89.800000,84.649074,90.673170,96.118650
2003,117,106.443121,114.897300,125.445147
2004,130,111.702585,131.687800,132.471850
2005,139,114.399416,141.591500,144.518154
2006,142,121.705076,151.487200,171.562337
2007,150,133.124515,170.999900,189.319767
2008,168,153.683520,193.990400,220.129792
2009,174,168.013251,193.840100,202.988387
2010,161,184.842303,186.207700,206.247073
2011,162,197.573128,191.910100,221.277491
2012,168,207.392254,197.045600,229.679704
2013,160,213.335127,195.645600,239.681357
2014,191,209.983037,219.534000,241.046692
2015,206,225.683649,228.523900,245.631550
2016,213,226.604723,159.256700,248.388960
2017,208,212.490383,158.006300,241.495738
2018,212.570900,209.278516,168.078900,246.283594
2019,215.763300,219.556572,167.632000,236.340965
2020,221.426300,216.768333,173.924100,215.336810
2021,227.811600,237.068552,175.080800,241.156865
2022,227.931400,,179.203700,
