"Year","AUS production EXIOBASE 3.8.2","AUS production WIOD2016","AUS production OECDv2","AUS production Eora 199.082","AUS production FIGARO April 2022","AUS production GCB 2023v26","AUS consumption EXIOBASE 3.8.2","AUS consumption WIOD2016","AUS consumption OECDv2","AUS consumption Eora 199.082","AUS consumption FIGARO April 2022","AUS consumption GCB 2023v26","AUS net_trade EXIOBASE 3.8.2","AUS net_trade WIOD2016","AUS net_trade OECDv2","AUS net_trade Eora 199.082","AUS net_trade FIGARO April 2022","AUS net_trade GCB 2023v26"
1990,,,,277.610000,,278.160268,,,,264.220997,,243.324148,,,,-13.389003,,-34.836120
1991,,,,279.620000,,279.534032,,,,263.174959,,243.937345,,,,-16.445041,,-35.596687
1992,,,,282.880000,,284.528773,,,,276.620396,,246.536321,,,,-6.259604,,-37.992452
1993,,,,286.970000,,288.873507,,,,309.203909,,247.452653,,,,22.233909,,-41.420854
1994,,,,292.640000,,293.700920,,,,315.522853,,256.014425,,,,22.882853,,-37.686495
1995,298.224632,,286.697364,302.700000,,305.055586,300.307709,,271.224846,283.027343,,261.645100,2.083076,,-15.472517,-19.672657,,-43.410486
1996,308.886062,,297.196275,313.400000,,311.940494,293.689205,,285.418356,363.414641,,268.020716,-15.196857,,-11.777919,50.014641,,-43.919779
1997,316.407138,,304.888996,322.390000,,320.332758,305.414875,,293.910906,286.927795,,275.645955,-10.992263,,-10.978090,-35.462205,,-44.686803
1998,337.536798,,324.479696,343.250000,,334.135545,323.680200,,318.929722,319.347513,,295.575891,-13.856598,,-5.549973,-23.902487,,-38.559654
1999,342.905817,,330.601029,348.460000,,343.959206,332.476330,,323.541193,324.118530,,296.615555,-10.429487,,-7.059837,-24.341470,,-47.343651
2000,349.072576,376.013316,336.461819,354.230000,,350.007696,323.631937,357.481132,330.449190,325.830452,,290.901091,-25.440639,-18.532184,-6.012629,-28.399548,,-59.106605
2001,355.457835,387.700800,342.808824,360.830000,,357.783390,328.655310,370.181957,330.421979,323.391794,,299.606615,-26.802525,-17.518843,-12.386844,-37.438206,,-58.176775
2002,362.647232,401.047557,347.450211,368.930000,,362.536534,355.917624,403.280647,353.939139,338.420249,,318.183989,-6.729609,2.233090,6.488928,-30.509751,,-44.352544
2003,365.429484,408.627845,354.573100,372.940000,,369.441741,359.728654,427.091414,376.461643,352.927635,,334.779224,-5.700830,18.463569,21.888543,-20.012365,,-34.662517
2004,381.655427,411.916870,369.489068,387.110000,,382.873454,389.517618,451.190508,401.464542,382.961187,,344.480726,7.862191,39.273637,31.975474,-4.148813,,-38.392728
2005,387.384168,408.336244,372.960600,392.060000,,386.205375,421.527059,458.866337,414.465923,377.151324,,343.993719,34.142891,50.530093,41.505323,-14.908676,,-42.211657
2006,393.217057,411.165147,376.510046,398.390000,,392.436333,425.322362,461.911955,415.157616,387.178172,,356.046186,32.105304,50.746808,38.647570,-11.211828,,-36.390147
2007,403.587068,424.657013,386.981733,408.840000,,399.676260,445.457802,489.778332,433.858120,414.371215,,367.324710,41.870734,65.121318,46.876387,5.531215,,-32.351550
2008,407.493237,417.947385,389.745400,412.000000,,404.255700,437.140431,468.014936,429.532653,383.476243,,362.790984,29.647194,50.067551,39.787253,-28.523757,,-41.464716
2009,414.225176,435.045558,395.607145,417.440000,,407.477156,446.789550,479.333690,426.558400,398.267581,,394.426417,32.564375,44.288131,30.951255,-19.172419,,-13.050739
2010,407.598934,428.197963,387.954176,413.290000,415.351735,405.512170,453.706571,489.940715,431.829632,404.461389,496.428084,394.981824,46.107638,61.742752,43.875456,-8.828611,81.076349,-10.530346
2011,406.127967,421.839871,389.023136,410.890000,413.009504,404.256789,473.323200,506.184031,445.875437,412.617977,507.771260,394.038707,67.195233,84.344159,56.852301,1.727977,94.761756,-10.218083
2012,405.822465,420.131093,,410.490000,411.921653,406.579731,468.445301,505.284006,,417.662976,519.002512,401.700393,62.622836,85.152913,,7.172976,107.080859,-4.879337
2013,402.168338,414.142482,,406.100000,406.428216,399.288011,457.983646,486.830784,,409.015743,489.501345,380.625620,55.815308,72.688302,,2.915743,83.073129,-18.662391
2014,393.000468,404.864841,,396.940000,396.293123,393.049371,441.855101,471.591483,,400.972183,467.878950,380.008017,48.854633,66.726642,,4.032183,71.585827,-13.041355
2015,400.776303,,,404.020000,402.787932,401.378360,439.771542,,,407.734241,466.064363,381.730088,38.995240,,,3.714241,63.276431,-19.648272
2016,408.568911,,,411.850000,412.176158,410.253593,445.304196,,,386.275969,456.877969,371.360917,36.735285,,,-25.574031,44.701811,-38.892676
2017,411.356908,,,414.450000,417.072578,413.655465,452.320177,,,395.000279,465.473867,377.180695,40.963268,,,-19.449721,48.401289,-36.474770
2018,412.984988,,,416.049404,414.654074,415.350720,448.835664,,,374.050226,453.194458,364.888214,35.850676,,,-41.999178,38.540384,-50.462507
2019,429.460200,,,433.378910,414.656974,415.811270,443.036296,,,378.914366,429.883396,362.199257,13.576096,,,-54.464544,15.226422,-53.612013
2020,435.599618,,,603.758024,349.794552,396.685170,454.307544,,,504.725531,374.263807,353.473620,18.707926,,,-99.032493,24.469255,-43.211549
2021,453.153823,,,555.491138,,386.606936,477.738442,,,445.107995,,338.308831,24.584619,,,-110.383143,,-48.298105
2022,464.197208,,,,,,483.335577,,,,,,19.138369,,,,,
