"Year","BHS production Eora 199.082","BHS consumption Eora 199.082","BHS net_trade Eora 199.082"
1990,1.520000,2.861640,1.341640
1991,1.460000,2.781360,1.321360
1992,1.230000,4.162648,2.932648
1993,1.260000,7.413750,6.153750
1994,1.350000,6.888077,5.538077
1995,1.580000,2.816893,1.236893
1996,1.800000,9.601756,7.801756
1997,1.710000,2.878473,1.168473
1998,1.880000,2.987409,1.107409
1999,1.750000,2.815499,1.065499
2000,1.630000,2.836467,1.206467
2001,1.620000,2.740919,1.120919
2002,1.620000,2.647520,1.027520
2003,1.950000,2.911210,0.961210
2004,2.010000,2.946152,0.936152
2005,2.060000,3.052326,0.992326
2006,2.000000,3.140302,1.140302
2007,1.980000,3.094793,1.114793
2008,1.370000,2.506564,1.136564
2009,1.650000,2.652696,1.002696
2010,1.740000,2.750292,1.010292
2011,1.730000,2.792134,1.062134
2012,3.010000,3.911147,0.901147
2013,3.370000,4.215244,0.845244
2014,3.140000,3.983284,0.843284
2015,3.000000,3.798406,0.798406
2016,3.030000,2.940375,-0.089625
2017,2.450000,2.641553,0.191553
2018,2.513879,2.768266,0.254387
2019,2.449275,2.678788,0.229514
2020,7.550268,6.440250,-1.110017
2021,6.686890,5.494647,-1.192243
2022,,,
