"Year","CHE production EXIOBASE 3.8.2","CHE production WIOD2016","CHE production OECDv2","CHE production Eora 199.082","CHE production FIGARO April 2022","CHE production GCB 2023v26","CHE production Eurostat NAMEA","CHE consumption EXIOBASE 3.8.2","CHE consumption WIOD2016","CHE consumption OECDv2","CHE consumption Eora 199.082","CHE consumption FIGARO April 2022","CHE consumption GCB 2023v26","CHE net_trade EXIOBASE 3.8.2","CHE net_trade WIOD2016","CHE net_trade OECDv2","CHE net_trade Eora 199.082","CHE net_trade FIGARO April 2022","CHE net_trade GCB 2023v26"
1990,,,,44.960000,,44.161001,,,,,88.383863,,85.885292,,,,43.423863,,41.724291
1991,,,,47.280000,,46.136914,,,,,90.136550,,88.184569,,,,42.856550,,42.047655
1992,,,,47.220000,,46.018556,,,,,91.591886,,95.619148,,,,44.371886,,49.600592
1993,,,,44.880000,,43.605820,,,,,99.105888,,87.235395,,,,54.225888,,43.629576
1994,,,,43.940000,,42.666301,,,,,99.705251,,86.583628,,,,55.765251,,43.917327
1995,55.172065,,41.878458,44.740000,,43.407792,47.389985,100.123927,,80.288998,90.909884,,90.501319,44.951862,,38.410540,46.169884,,47.093526
1996,56.141726,,42.899265,45.280000,,44.099082,48.374893,98.041696,,79.809350,109.191844,,108.217834,41.899970,,36.910084,63.911844,,64.118753
1997,55.422381,,41.760368,44,,43.035150,47.176798,97.763961,,77.658564,85.384952,,96.325994,42.341581,,35.898196,41.384952,,53.290844
1998,57.580209,,43.622675,45.450000,,44.613703,49.032094,99.048521,,83.795471,87.379491,,116.891526,41.468312,,40.172796,41.929491,,72.277823
1999,58.423777,,43.635811,45.720000,,44.436974,48.944852,99.241934,,82.437318,87.708071,,106.420302,40.818158,,38.801507,41.988071,,61.983328
2000,58.185653,48.474833,42.850900,44.910000,,43.614187,48.441831,96.983633,98.690581,84.921577,90.425179,,89.438288,38.797980,50.215748,42.070677,45.515179,,45.824100
2001,55.364170,49.911782,43.543761,46.340000,,45.080923,49.913410,94.185407,103.949648,90.808337,96.117375,,107.266223,38.821237,54.037865,47.264576,49.777375,,62.185300
2002,54.084134,48.051563,42.332050,44.710000,,43.460932,48.075113,95.459715,97.257973,83.370195,93.174074,,97.600961,41.375581,49.206410,41.038145,48.464074,,54.140029
2003,56.579773,48.541559,43.399163,46.010000,,44.646084,48.600688,95.187624,96.502825,81.545209,97.994961,,95.349884,38.607851,47.961266,38.146046,51.984961,,50.703801
2004,59.122771,48.751997,43.779137,46.550000,,45.231409,48.843634,91.147704,97.147376,82.063160,103.030513,,99.256877,32.024933,48.395379,38.284023,56.480513,,54.025468
2005,56.898467,49.176527,44.690134,47.160000,,45.778290,49.300510,96.548923,99.593911,88.589034,105.427078,,108.470988,39.650456,50.417384,43.898899,58.267078,,62.692698
2006,53.866298,48.873079,44.133971,46.730000,,45.367702,49.052982,89.967919,99.863577,86.620720,108.364818,,117.501648,36.101621,50.990498,42.486749,61.634818,,72.133946
2007,48.784274,46.875328,42.778814,44.770000,,43.362896,47.063812,82.975926,97.344892,88.329749,108.201075,,107.489111,34.191652,50.469564,45.550935,63.431075,,64.126215
2008,50.279284,48.207581,44.307130,46.160000,,44.705780,48.506295,88.903225,96.701400,89.552269,109.759851,,106.596314,38.623941,48.493819,45.245139,63.599851,,61.890535
2009,49.313266,46.770429,42.770906,44.770000,,43.529710,47.140012,86.371161,94.153986,85.752737,101.103481,,103.892391,37.057895,47.383557,42.981830,56.333481,,60.362681
2010,51.168572,48.374010,44.244352,46.470000,48.802909,45.043333,48.803227,95.820880,101.226150,94.181048,107.981272,129.957797,100.890127,44.652308,52.852141,49.936696,61.511272,81.154888,55.846794
2011,47.356439,45.147183,40.264503,42.350000,45.528104,40.981070,45.528351,106.537907,104.136036,96.231510,106.563094,135.191978,103.965959,59.181468,58.988854,55.967007,64.213094,89.663874,62.984889
2012,48.283320,46.633956,,43.650000,46.929391,42.248652,46.929660,99.109472,101.757250,,107.824259,135.912665,149.758158,50.826152,55.123294,,64.174259,88.983274,107.509506
2013,49.349017,47.745807,,44.650000,47.960174,43.182481,47.960397,104.195051,104.216668,,110.405537,134.421351,140.942097,54.846034,56.470861,,65.755537,86.461177,97.759616
2014,45.838902,44.067029,,40.950000,44.195687,39.228590,44.196042,89.503582,101.932751,,103.126695,123.522559,137.770856,43.664680,57.865722,,62.176695,79.326872,98.542265
2015,45.989193,,,40.230000,44.512455,38.725593,44.512796,92.544603,,,102.937160,125.306982,142.358114,46.555410,,,62.707160,80.794527,103.632521
2016,46.474289,,,40.690000,45.087970,39.178639,45.088250,96.006771,,,94.312251,129.920887,161.560131,49.532482,,,53.622251,84.832917,122.381492
2017,45.487973,,,39.780000,44.242185,38.172093,44.242468,85.679247,,,96.001955,121.357672,128.271990,40.191274,,,56.221955,77.115487,90.099896
2018,44.056416,,,38.514804,43.048020,36.867250,43.048353,83.227187,,,92.700699,120.123007,125.015002,39.170771,,,54.185895,77.074987,88.147752
2019,45.216033,,,39.370849,43.093458,36.726919,43.093657,83.506397,,,88.096320,121.680547,121.603119,38.290364,,,48.725471,78.587089,84.876201
2020,46.113460,,,50.899176,40.266300,34.235225,,86.315801,,,96.501639,123.851388,107.019644,40.202341,,,45.602462,83.585088,72.784419
2021,46.657176,,,47.579015,,35.787340,,95.252939,,,90.873479,,118.675161,48.595764,,,43.294464,,82.887820
2022,48.220932,,,,,,,97.387508,,,,,,49.166576,,,,,
