"Year","CRI production OECDv2","CRI production Eora 199.082 (2023)","CRI production GCB 2023v26","CRI consumption OECDv2","CRI consumption Eora 199.082 (2023)","CRI consumption GCB 2023v26","CRI net_trade OECDv2","CRI net_trade Eora 199.082 (2023)","CRI net_trade GCB 2023v26"
1970,,1.240000,,,0.804082,,,-0.435918,
1971,,1.490000,,,0.710158,,,-0.779842,
1972,,1.710000,,,0.496707,,,-1.213293,
1973,,1.980000,,,0.757124,,,-1.222876,
1974,,1.860000,,,0.968351,,,-0.891649,
1975,,1.990000,,,1.624477,,,-0.365523,
1976,,2.030000,,,2.197747,,,0.167747,
1977,,2.530000,,,3.675384,,,1.145384,
1978,,2.830000,,,4.090936,,,1.260936,
1979,,2.720000,,,4.529408,,,1.809408,
1980,,2.410000,,,4.404836,,,1.994836,
1981,,2.190000,,,3.460666,,,1.270666,
1982,,2.040000,,,2.891616,,,0.851616,
1983,,2.060000,,,2.592404,,,0.532404,
1984,,1.960000,,,2.322267,,,0.362267,
1985,,2.210000,,,3.874028,,,1.664028,
1986,,2.530000,,,1.144351,,,-1.385649,
1987,,2.660000,,,1.364999,,,-1.295001,
1988,,2.840000,,,3.551941,,,0.711941,
1989,,2.880000,,,5.272776,,,2.392776,
1990,,2.840000,2.913015,,5.045485,5.163011,,2.205485,2.249997
1991,,3.240000,3.287914,,5.092053,5.239724,,1.852053,1.951810
1992,,3.680000,3.741868,,5.133192,5.741288,,1.453192,1.999420
1993,,3.860000,3.890892,,2.506600,5.767389,,-1.353400,1.876497
1994,,5.150000,5.199850,,5.348591,6.878041,,0.198591,1.678191
1995,4.368811,4.790000,4.800770,6.663219,7.288428,6.740977,2.294408,2.498428,1.940207
1996,4.107376,4.720000,4.686377,6.495728,7.123827,6.598294,2.388352,2.403827,1.911917
1997,4.004712,4.930000,4.916182,6.686026,7.414876,7.089799,2.681314,2.484876,2.173616
1998,4.480701,5.200000,5.234101,7.618673,7.419557,8.129341,3.137972,2.219557,2.895240
1999,4.517559,5.330000,5.437766,8.107058,7.409100,9.625411,3.589499,2.079100,4.187645
2000,4.443918,5.280000,5.393873,7.814075,7.556197,7.992956,3.370156,2.276197,2.599083
2001,4.827266,5.450000,5.666567,8.204123,7.750937,8.111907,3.376857,2.300937,2.445340
2002,4.932246,5.910000,6.245400,8.452583,8.236272,10.540914,3.520337,2.326272,4.295514
2003,5.269465,6.160000,6.582545,7.902511,8.465077,9.233422,2.633047,2.305077,2.650877
2004,5.371720,6.350000,6.841678,7.952013,8.634682,9.581977,2.580293,2.284682,2.740299
2005,5.670370,6.130000,6.723403,8.288008,8.633117,9.520284,2.617639,2.503117,2.796881
2006,5.865454,6.500000,7.006724,8.726237,9.233520,10.590596,2.860783,2.733520,3.583871
2007,6.581209,7.220000,7.960740,9.406254,10.049140,12.012658,2.825045,2.829140,4.051918
2008,6.577565,7.270000,7.989944,10.013736,10.549010,12.641122,3.436171,3.279010,4.651179
2009,6.220604,7.090000,7.747752,8.454999,9.891224,10.449084,2.234396,2.801224,2.701331
2010,6.507282,6.960000,7.492647,9.618175,10.385150,11.121881,3.110894,3.425150,3.629234
2011,6.668959,7.110000,7.310815,10.692888,11.000220,12.271671,4.023929,3.890220,4.960856
2012,,7.100000,7.260085,,11.138780,12.196033,,4.038780,4.935947
2013,,6.930000,7.631517,,11.162580,12.171894,,4.232580,4.540377
2014,,7.070000,7.748309,,11.257520,12.098011,,4.187520,4.349702
2015,,8.470000,7.406021,,12.291080,12.090286,,3.821080,4.684264
2016,,8.810000,7.855934,,12.206600,12.230984,,3.396600,4.375050
2017,,8.750000,8.029008,,12.022550,12.356850,,3.272550,4.327842
2018,,8.664013,8.012376,,12.316020,12.762211,,3.652007,4.749835
2019,,8.787670,7.698382,,12.107530,12.343223,,3.319860,4.644841
2020,,8.949525,6.763180,,12.528370,10.971217,,3.578845,4.208037
2021,,9.134709,7.638232,,12.461630,12.262790,,3.326921,4.624558
2022,,9.322762,,,12.455540,,,3.132778,
