"Year","DZA production Eora 199.082 (2023)"
1970,15.500000
1971,19.200000
1972,28.900000
1973,38.900000
1974,32.500000
1975,32.600000
1976,39.600000
1977,42.300000
1978,63.100000
1979,46.200000
1980,67
1981,47.100000
1982,41
1983,54.100000
1984,72.700000
1985,74.600000
1986,78.300000
1987,86.200000
1988,86
1989,81.700000
1990,78.500000
1991,81.200000
1992,82.300000
1993,84.300000
1994,88
1995,96.700000
1996,98.100000
1997,89
1998,109
1999,93.900000
2000,89.900000
2001,86.300000
2002,92.100000
2003,93.700000
2004,90.600000
2005,109
2006,103
2007,111
2008,112
2009,123
2010,121
2011,123
2012,131
2013,135
2014,146
2015,152
2016,151
2017,151
2018,162.947800
2019,168.683900
2020,174.100200
2021,178.351200
2022,166.825100
