"Year","GAB production Eora 199.082 (2023)","GAB consumption Eora 199.082 (2023)","GAB net_trade Eora 199.082 (2023)"
1970,2.090000,1.546217,-0.543783
1971,2.850000,1.936208,-0.913792
1972,2.750000,1.385725,-1.364275
1973,5.320000,3.665123,-1.654877
1974,5.460000,3.814084,-1.645916
1975,5.420000,4.333006,-1.086994
1976,5.720000,4.859304,-0.860696
1977,6.320000,6.266548,-0.053452
1978,7.560000,7.229654,-0.330346
1979,6.760000,6.703149,-0.056851
1980,6.640000,6.495259,-0.144741
1981,6.580000,6.424683,-0.155317
1982,6.550000,6.209791,-0.340209
1983,5.520000,4.821161,-0.698839
1984,6,4.993809,-1.006191
1985,6.320000,6.478373,0.158373
1986,4.970000,2.454577,-2.515423
1987,4.030000,1.302082,-2.727918
1988,4.340000,3.657038,-0.682962
1989,5.780000,6.037583,0.257583
1990,4.510000,4.881677,0.371677
1991,4.550000,4.879412,0.329412
1992,4.940000,4.462339,-0.477661
1993,5,0.758821,-4.241179
1994,4.400000,1.870398,-2.529602
1995,4.630000,4.273870,-0.356130
1996,4.780000,4.189656,-0.590344
1997,4.800000,4.245278,-0.554722
1998,4.980000,4.442102,-0.537898
1999,4.810000,3.984176,-0.825824
2000,4.700000,3.557641,-1.142359
2001,4.800000,3.739127,-1.060873
2002,4.570000,3.693558,-0.876442
2003,4.630000,3.831400,-0.798600
2004,4.680000,3.796229,-0.883771
2005,4.880000,3.840367,-1.039633
2006,4.170000,3.431264,-0.738736
2007,4.110000,3.506759,-0.603241
2008,4.170000,3.503313,-0.666687
2009,4.240000,3.734728,-0.505272
2010,4.810000,3.897855,-0.912145
2011,4.960000,5.139738,0.179738
2012,5.110000,5.130129,0.020129
2013,5.290000,5.480717,0.190717
2014,5.100000,5.324851,0.224851
2015,4.810000,5.221938,0.411938
2016,4.820000,4.404866,-0.415134
2017,4.710000,4.018033,-0.691967
2018,4.964595,4.836056,-0.128539
2019,4.926854,4.742844,-0.184010
2020,4.899306,4.733259,-0.166047
2021,4.874210,4.658559,-0.215651
2022,4.747368,4.597325,-0.150043
