"Year","GRC production EXIOBASE 3.8.2","GRC production WIOD2016","GRC production OECDv2","GRC production Eora 199.082 (2023)","GRC production FIGARO April 2022","GRC production GCB 2023v26","GRC production Eurostat NAMEA","GRC consumption EXIOBASE 3.8.2","GRC consumption WIOD2016","GRC consumption OECDv2","GRC consumption Eora 199.082 (2023)","GRC consumption FIGARO April 2022","GRC consumption GCB 2023v26","GRC net_trade EXIOBASE 3.8.2","GRC net_trade WIOD2016","GRC net_trade OECDv2","GRC net_trade Eora 199.082 (2023)","GRC net_trade FIGARO April 2022","GRC net_trade GCB 2023v26"
1970,,,,28,,,,,,,27.197810,,,,,,-0.802190,,
1971,,,,32,,,,,,,30.537970,,,,,,-1.462030,,
1972,,,,36.200000,,,,,,,34.048070,,,,,,-2.151930,,
1973,,,,42.600000,,,,,,,41.104650,,,,,,-1.495350,,
1974,,,,41.900000,,,,,,,41.425080,,,,,,-0.474920,,
1975,,,,44.400000,,,,,,,46.640070,,,,,,2.240070,,
1976,,,,48.400000,,,,,,,54.328700,,,,,,5.928700,,
1977,,,,52.700000,,,,,,,63.757890,,,,,,11.057890,,
1978,,,,53.900000,,,,,,,66.605270,,,,,,12.705270,,
1979,,,,57.800000,,,,,,,75.928590,,,,,,18.128590,,
1980,,,,57.700000,,,,,,,77.795930,,,,,,20.095930,,
1981,,,,56.700000,,,,,,,74.705690,,,,,,18.005690,,
1982,,,,58,,,,,,,75.120810,,,,,,17.120810,,
1983,,,,61.400000,,,,,,,74.711690,,,,,,13.311690,,
1984,,,,63.200000,,,,,,,73.939050,,,,,,10.739050,,
1985,,,,66.900000,,,,,,,84.776620,,,,,,17.876620,,
1986,,,,65.300000,,,,,,,61.909570,,,,,,-3.390430,,
1987,,,,70.200000,,,,,,,65.924510,,,,,,-4.275490,,
1988,,,,75.100000,,,,,,,87.162910,,,,,,12.062910,,
1989,,,,81.700000,,,,,,,104.255300,,,,,,22.555300,,
1990,,,,83.600000,,83.438040,,,,,107.812300,,96.479934,,,,24.212300,,13.041894
1991,,,,83.500000,,83.407498,,,,,109.029800,,95.411598,,,,25.529800,,12.004100
1992,,,,85.100000,,84.975654,,,,,109.342500,,104.640388,,,,24.242500,,19.664734
1993,,,,84.500000,,84.284958,,,,,97.858010,,99.429565,,,,13.358010,,15.144607
1994,,,,86.600000,,86.430258,,,,,106.043600,,99.338782,,,,19.443600,,12.908523
1995,151.035298,,75.518376,87.100000,,86.963204,,161.900863,,83.635521,116.655300,,100.587403,10.865566,,8.117145,29.555300,,13.624199
1996,152.316601,,75.465180,89.200000,,89.114955,,170.358150,,86.141987,124.280500,,98.954085,18.041549,,10.676807,35.080500,,9.839130
1997,154.805292,,76.431888,93.900000,,93.801558,,164.773073,,85.672317,122.312900,,100.145710,9.967781,,9.240429,28.412900,,6.344152
1998,160.029280,,79.955519,98.700000,,98.621793,,176.267241,,90.349712,132.979100,,107.400532,16.237962,,10.394193,34.279100,,8.778739
1999,163.813735,,80.162521,98,,97.934815,,180.722777,,94.831631,135.729700,,103.475288,16.909043,,14.669110,37.729700,,5.540473
2000,172.663923,131.928684,87.226369,103,,102.973167,,189.253044,142.968096,106.891869,141.734700,,104.543842,16.589121,11.039411,19.665500,38.734700,,1.570676
2001,170.122671,134.521591,89.299881,105,,105.361862,,184.913699,154.092295,111.599947,142.386800,,106.406924,14.791028,19.570704,22.300067,37.386800,,1.045062
2002,171.950239,135.005331,89.544699,105,,105.000510,,183.890894,151.547852,118.421052,143.555100,,109.451539,11.940655,16.542521,28.876353,38.555100,,4.451029
2003,173.003430,138.657272,93.443358,109,,109.066728,,197.305648,154.358475,123.688725,154.341500,,97.312885,24.302218,15.701203,30.245367,45.341500,,-11.753843
2004,175.980445,137.952758,93.134545,110,,109.485277,,195.942380,152.541118,127.898888,155.823500,,93.899694,19.961935,14.588360,34.764343,45.823500,,-15.585583
2005,183.350747,139.792221,94.854813,114,,113.888965,,203.056441,147.360491,122.768224,158.882700,,93.617480,19.705694,7.568270,27.913412,44.882700,,-20.271485
2006,183.644549,138.027577,93.798507,113,,112.419545,,210.185591,149.238055,121.418209,159.143800,,96.011594,26.541041,11.210478,27.619702,46.143800,,-16.407950
2007,188.602363,142.127159,97.585610,115,,114.545692,,216.302906,156.483643,129.267711,164.826900,,96.992911,27.700543,14.356484,31.682101,49.826900,,-17.552781
2008,178.248488,111.112527,94.154021,111,,111.080374,120.369495,210.842217,154.057385,127.472340,163.125000,,97.195696,32.593729,42.944858,33.318319,52.125000,,-13.884679
2009,168.619863,104.340533,90.026236,104,,104.319843,113.298955,186.918585,138.124233,117.003819,150.032300,,105.981312,18.298722,33.783700,26.977583,46.032300,,1.661469
2010,167.164698,97.342976,84.079641,97.400000,106.830783,97.354150,106.824562,183.307204,125.851812,107.917480,140.892100,128.396583,91.908038,16.142505,28.508836,23.837839,43.492100,21.565800,-5.446112
2011,165.265498,94.531701,82.749882,94.600000,103.556061,94.505232,103.512677,174.169467,117.940242,100.723427,131.884000,116.184009,82.442140,8.903969,23.408541,17.973544,37.284000,12.627948,-12.063092
2012,153.298024,91.417801,,91.500000,99.982083,91.392589,99.944847,157.093785,108.192412,,124.511400,105.291353,74.626630,3.795761,16.774611,,33.011400,5.309270,-16.765959
2013,146.577974,81.722580,,81.800000,88.472270,81.713260,88.450389,147.133594,96.129010,,113.584800,92.693285,63.363801,0.555619,14.406430,,31.784800,4.221015,-18.349459
2014,145.704105,78.655818,,78.700000,85.702051,78.636455,85.680266,141.640488,93.618177,,106.776900,90.316867,59.536868,-4.063618,14.962359,,28.076900,4.614816,-19.099587
2015,147.737736,,,75,83.660256,74.927631,83.627557,138.025576,,,105.781600,89.416148,55.884290,-9.712160,,,30.781600,5.755892,-19.043341
2016,146.011467,,,71.400000,81.368379,71.361001,81.360056,138.415262,,,62.949850,84.805505,57.071487,-7.596205,,,-8.450150,3.437126,-14.289515
2017,147.470900,,,74.900000,86.624176,74.843444,86.673262,140.871525,,,65.730490,87.888549,56.681431,-6.599375,,,-9.169510,1.264373,-18.162013
2018,143.566763,,,71.175080,85.590195,71.780902,85.557049,138.644929,,,74.120620,88.293416,57.615444,-4.921834,,,2.945540,2.703221,-14.165458
2019,137.887727,,,70.209580,81.029176,65.759480,80.778618,130.747516,,,73.245280,87.585881,52.456334,-7.140210,,,3.035700,6.556705,-13.303147
2020,138.535843,,,69.430750,67.067677,55.619770,69.771942,133.172453,,,76.911770,72.032525,51.698388,-5.363390,,,7.481020,4.964848,-3.921382
2021,144.679455,,,68.345470,,57.556329,71.623982,134.644949,,,73.564420,,50.905171,-10.034506,,,5.218950,,-6.651158
2022,147.323233,,,65.275610,,,,135.791329,,,69.335190,,,-11.531904,,,4.059580,,
