"Year","GTM production Eora 199.082 (2023)","GTM production GCB 2023v26"
1970,2.090000,
1971,2.170000,
1972,2.430000,
1973,2.650000,
1974,2.770000,
1975,3.160000,
1976,3,
1977,3.450000,
1978,3.700000,
1979,4.180000,
1980,4.040000,
1981,3.550000,
1982,3.280000,
1983,2.860000,
1984,3.110000,
1985,3.210000,
1986,3.370000,
1987,3.570000,
1988,3.680000,
1989,3.840000,
1990,4.500000,4.972245
1991,5.630000,4.951134
1992,7.560000,5.919209
1993,7.930000,5.577778
1994,10.500000,6.751174
1995,10.300000,7.078550
1996,8.920000,6.571124
1997,9.710000,7.501859
1998,10.600000,8.639397
1999,10.400000,8.805825
2000,10.900000,9.764762
2001,11.400000,10.233260
2002,11.800000,10.721662
2003,11.200000,10.447951
2004,12,11.180307
2005,12.800000,12.109271
2006,12.900000,12.176554
2007,12.800000,12.144909
2008,11.700000,10.893166
2009,12,11.442047
2010,12,11.097682
2011,12.200000,11.237312
2012,12.400000,11.576644
2013,13.900000,12.811682
2014,18.500000,13.827098
2015,16.400000,15.951887
2016,17,16.926494
2017,16.900000,17.320534
2018,17.840520,18.500795
2019,18.628270,19.501705
2020,19.526950,17.336898
2021,20.533350,19.647935
2022,21.405440,
