"Year","HND production Eora 199.082 (2023)","HND production GCB 2023v26","HND consumption Eora 199.082 (2023)","HND consumption GCB 2023v26"
1970,1.410000,,0.946331,
1971,1.350000,,0.541494,
1972,1.550000,,0.260524,
1973,1.530000,,0.109767,
1974,1.580000,,0.343412,
1975,1.690000,,0.997392,
1976,1.800000,,1.590556,
1977,2.020000,,2.690916,
1978,2.070000,,2.847493,
1979,1.950000,,3.245472,
1980,2.070000,,3.580544,
1981,1.840000,,3.139425,
1982,1.780000,,2.548030,
1983,2.010000,,2.356091,
1984,1.990000,,2.182458,
1985,1.920000,,3.464023,
1986,1.860000,,0.162097,
1987,2.180000,,0.315938,
1988,2.500000,,2.908274,
1989,2.720000,,4.771844,
1990,2.580000,2.504658,3.702065,3.329364
1991,2.690000,2.526966,3.475272,3.402699
1992,3.070000,2.803312,3.198497,3.826510
1993,2.840000,2.940777,0.228590,3.824092
1994,3.330000,3.231039,2.203694,4.020819
1995,3.890000,3.836235,4.603370,4.461534
1996,3.990000,3.875521,4.518901,4.778752
1997,4.190000,4.010334,4.796921,5.390419
1998,4.680000,4.810582,5.200810,6.272403
1999,4.770000,4.704557,5.380797,6.744141
2000,5.040000,5.031508,5.695222,3.954516
2001,5.720000,5.664895,6.132866,4.188646
2002,6.070000,5.945282,6.388583,4.332704
2003,6.770000,6.686778,7.037986,5.313126
2004,7.360000,7.194159,7.529874,5.602046
2005,7.560000,6.834857,7.721531,5.356365
2006,6.960000,7.698208,7.540308,6.387776
2007,8.700000,8.216418,9.171955,6.785920
2008,8.560000,8.532908,9.388646,13.948100
2009,7.760000,8.030408,8.762226,6.971818
2010,7.870000,7.996618,8.907548,6.694223
2011,8.840000,8.860314,9.864751,6.863992
2012,8.850000,9.218278,9.954475,6.983568
2013,8.940000,9.364898,10.120090,17.524904
2014,9.350000,9.481238,10.481900,7.316722
2015,10.200000,10.347979,11.139730,8.138550
2016,10.600000,9.722308,10.520890,7.685683
2017,10.500000,10.231486,10.585870,8.118444
2018,11.024330,9.861259,11.603420,7.980587
2019,11.398330,11.218794,11.552420,9.089221
2020,11.820240,9.526111,11.995870,7.919862
2021,12.285310,10.810972,12.069750,8.907017
2022,12.104750,,11.952980,
