"Year","HND production Eora 199.082","HND production GCB 2023v26","HND consumption Eora 199.082","HND consumption GCB 2023v26","HND net_trade Eora 199.082","HND net_trade GCB 2023v26"
1990,2.380000,2.504658,3.212556,3.329364,0.832556,0.824706
1991,2.410000,2.526966,3.070036,3.402699,0.660036,0.875733
1992,2.690000,2.803312,4.894142,3.826510,2.204142,1.023199
1993,2.820000,2.940777,8.099620,3.824092,5.279620,0.883314
1994,3.210000,3.231039,7.663784,4.020819,4.453784,0.789780
1995,3.810000,3.836235,4.325486,4.461534,0.515486,0.625298
1996,4.030000,3.875521,10.511222,4.778752,6.481222,0.903231
1997,4.160000,4.010334,4.589464,5.390419,0.429464,1.380084
1998,4.810000,4.810582,5.153082,6.272403,0.343082,1.461820
1999,4.890000,4.704557,5.260799,6.744141,0.370799,2.039584
2000,5.050000,5.031508,5.515652,3.954516,0.465652,-1.076992
2001,5.930000,5.664895,6.121609,4.188646,0.191609,-1.476250
2002,6.270000,5.945282,6.386869,4.332704,0.116869,-1.612578
2003,6.930000,6.686778,7.047827,5.313126,0.117827,-1.373652
2004,7.870000,7.194159,7.778503,5.602046,-0.091497,-1.592113
2005,7.850000,6.834857,7.830207,5.356365,-0.019793,-1.478492
2006,7.250000,7.698208,7.621713,6.387776,0.371713,-1.310432
2007,8.940000,8.216418,9.061013,6.785920,0.121013,-1.430498
2008,8.650000,8.532908,9.121563,13.948100,0.471563,5.415192
2009,8.180000,8.030408,8.702917,6.971818,0.522917,-1.058590
2010,8.050000,7.996618,8.710899,6.694223,0.660899,-1.302395
2011,9.110000,8.860314,9.730924,6.863992,0.620924,-1.996322
2012,9.110000,9.218278,9.810360,6.983568,0.700360,-2.234710
2013,9.220000,9.364898,9.957960,17.524904,0.737960,8.160006
2014,9.510000,9.481238,10.132552,7.316722,0.622552,-2.164516
2015,10.010000,10.347979,10.496453,8.138550,0.486453,-2.209429
2016,9.510000,9.722308,9.783082,7.685683,0.273082,-2.036624
2017,9.660000,10.231486,10.013654,8.118444,0.353654,-2.113042
2018,9.957201,9.861259,10.635198,7.980587,0.677996,-1.880672
2019,10.356497,11.218794,10.554304,9.089221,0.197807,-2.129573
2020,9.132247,9.526111,9.643205,7.919862,0.510958,-1.606249
2021,10.909903,10.810972,10.738224,8.907017,-0.171679,-1.903955
2022,,,,,,
