"Year","JOR production Eora 199.082 (2023)","JOR production GCB 2023v26","JOR consumption Eora 199.082 (2023)","JOR consumption GCB 2023v26"
1970,1.590000,,0.942179,
1971,1.700000,,0.786394,
1972,1.960000,,0.665255,
1973,2.250000,,0.922808,
1974,2.280000,,1.285869,
1975,2.540000,,2.343562,
1976,3,,3.706767,
1977,3.210000,,5.060059,
1978,3.690000,,5.961273,
1979,3.850000,,7.299877,
1980,4.780000,,8.545994,
1981,5.910000,,10.350490,
1982,6.350000,,10.242900,
1983,7.420000,,9.863204,
1984,8.380000,,10.144930,
1985,8.560000,,12.381360,
1986,9.290000,,8.160868,
1987,9.650000,,8.151784,
1988,9.320000,,10.581330,
1989,9.230000,,11.220330,
1990,10.400000,10.476423,12.110510,16.188154
1991,9.820000,9.903911,11.479810,14.492607
1992,12.200000,11.984199,13.402440,17.093807
1993,12,11.774286,9.489039,16.422633
1994,13.500000,13.249567,12.740920,17.970967
1995,13.600000,13.208063,15.265370,18.454889
1996,14.300000,13.825418,16.217020,15.019648
1997,14.800000,14.074057,16.154420,17.605360
1998,15,14.253067,16.956260,18.108157
1999,15.200000,14.266665,17.096440,17.285100
2000,16.400000,15.200204,18.856210,17.699961
2001,17.100000,15.609517,19.578390,19.651037
2002,18.200000,16.420437,20.449240,20.545686
2003,18.900000,16.982176,21.383830,19.944853
2004,20.900000,18.670695,23.870880,21.981380
2005,23,20.436793,26.355000,24.479629
2006,23.200000,20.526390,27.136960,24.394629
2007,24.300000,21.436498,28.418490,25.829371
2008,23.500000,20.717997,28.108540,28.600130
2009,24.100000,21.336692,28.404840,30.254442
2010,23.300000,20.615325,28.143290,27.211666
2011,23.800000,21.243760,29.208070,29.989664
2012,26.800000,23.814579,31.971420,34.310685
2013,26.800000,23.818202,31.625150,35.531492
2014,29,25.898834,32.439320,35.728482
2015,22.800000,25.549899,27.446950,35.484929
2016,22.500000,24.698330,29.563970,31.961636
2017,22.400000,25.813520,29.994140,31.814613
2018,25.020490,25.141975,32.255730,31.541981
2019,25.656200,24.728613,31.097990,30.600989
2020,26.460170,21.128763,31.920720,27.831783
2021,27.438860,22.638558,32.317050,30.039473
2022,28.064460,,33.752400,
