"Year","JPN production EXIOBASE 3.8.2","JPN production WIOD2016","JPN production OECDv2","JPN production Eora 199.082 (2023)","JPN production FIGARO April 2022","JPN production GCB 2023v26"
1970,,,,834,,
1971,,,,863,,
1972,,,,921,,
1973,,,,988,,
1974,,,,986,,
1975,,,,935,,
1976,,,,976,,
1977,,,,1000,,
1978,,,,972,,
1979,,,,1030,,
1980,,,,1020,,
1981,,,,996,,
1982,,,,961,,
1983,,,,944,,
1984,,,,1000,,
1985,,,,972,,
1986,,,,974,,
1987,,,,966,,
1988,,,,1050,,
1989,,,,1090,,
1990,,,,1160,,1157.195595
1991,,,,1170,,1168.897276
1992,,,,1180,,1178.674762
1993,,,,1170,,1171.686695
1994,,,,1230,,1226.702225
1995,1223.743664,,1140.999863,1240,,1239.048067
1996,1239.316206,,1154.918970,1250,,1251.545717
1997,1231.917985,,1150.912355,1250,,1244.251039
1998,1199.672608,,1119.893276,1210,,1204.402538
1999,1241.277096,,1159.605671,1240,,1241.036489
2000,1253.249253,1267.232320,1173.606765,1270,,1263.754800
2001,1245.773014,1261.149018,1158.983659,1250,,1249.162127
2002,1284.978945,1300.440798,1195.491387,1280,,1278.787150
2003,1290.291685,1306.453937,1202.286883,1290,,1287.292543
2004,1290.684763,1292.452049,1203.659049,1280,,1282.685854
2005,1298.486416,1288.935952,1210.076360,1290,,1290.144646
2006,1287.616043,1262.132078,1194.581576,1270,,1267.118388
2007,1335.330695,1309.988695,1230.539980,1300,,1302.836789
2008,1249.231861,1220.536288,1144.902872,1230,,1232.014218
2009,1178.188477,1159.538047,1086.604656,1160,,1163.057193
2010,1233.640394,1204.629398,1135.266185,1220,1286.931294,1214.707538
2011,1288.785156,1249.164665,1184.420858,1270,1332.929849,1264.631164
2012,1326.304188,1285.041579,,1310,1366.133374,1305.883603
2013,1348.072025,1310.061632,,1320,1376.776652,1315.192022
2014,1311.818730,1251.980264,,1270,1338.226038,1264.071906
2015,1272.226508,,,1230,1297.417761,1223.168717
2016,1259.489018,,,1210,1293.486530,1202.454571
2017,1247.167640,,,1190,1281.238560,1186.802263
2018,1227.338331,,,1219.030000,1240.879269,1141.668881
2019,1203.405020,,,1207.809000,1200.583869,1104.539821
2020,1225.492142,,,1188.647000,1114.284664,1039.795897
2021,1181.966822,,,1167.840000,,1062.129235
2022,1161.404925,,,1131.425000,,
