"Year","KAZ production Eora 199.082","KAZ production GCB 2023v26"
1990,251.290000,268.173094
1991,262.380000,261.065933
1992,267.290000,236.131075
1993,227.870000,208.216788
1994,205.310000,174.933435
1995,181.900000,168.285926
1996,159.500000,154.505018
1997,138.460000,146.425374
1998,141.840000,144.282671
1999,129.440000,119.265287
2000,131.160000,143.380198
2001,128.560000,138.768536
2002,143.040000,157.524848
2003,158.830000,175.854719
2004,171.460000,186.355686
2005,182.380000,200.041970
2006,203.310000,220.574705
2007,214.350000,226.744683
2008,253.150000,226.830973
2009,225.770000,224.549713
2010,242.950000,248.803234
2011,259.810000,238.987657
2012,256.940000,246.345331
2013,273.260000,255.164925
2014,259.570000,274.289680
2015,251.700000,278.661278
2016,259.700000,277.695737
2017,261.740000,293.476476
2018,282.085649,307.174088
2019,277.364668,275.289762
2020,394.194701,255.486480
2021,358.502547,255.142934
2022,,
