"Year","LUX production EXIOBASE 3.8.2","LUX production WIOD2016","LUX production OECDv2","LUX production Eora 199.082","LUX production FIGARO April 2022","LUX production GCB 2023v26","LUX production Eurostat NAMEA","LUX consumption EXIOBASE 3.8.2","LUX consumption WIOD2016","LUX consumption OECDv2","LUX consumption Eora 199.082","LUX consumption FIGARO April 2022","LUX consumption GCB 2023v26"
1990,,,,11.760000,,11.815503,,,,,13.126053,,11.815503
1991,,,,12.210000,,12.434925,,,,,13.936046,,12.434925
1992,,,,11.860000,,12.202474,,,,,15.008360,,12.202474
1993,,,,12.090000,,12.351908,,,,,18.439783,,12.351908
1994,,,,11.240000,,11.542851,,,,,17.493326,,11.542851
1995,6.187000,,8.076271,9.030000,,9.155929,,4.822245,,5.878720,12.114945,,9.155929
1996,6.190504,,8.135754,9.050000,,9.207411,,5.267219,,6.056068,18.954756,,9.207411
1997,6.361330,,7.704901,8.540000,,8.563894,,5.492320,,5.937660,12.226527,,8.563894
1998,6.359511,,7.084826,7.850000,,7.663257,,6.627702,,6.537897,12.406214,,7.663257
1999,7.199256,,7.412317,8.210000,,8.117591,,7.650305,,6.709268,12.769339,,8.652821
2000,8.167961,11.580889,8.000276,8.840000,,8.703619,,8.011323,11.406788,6.840496,13.820785,,8.374708
2001,8.895330,13.344139,8.613343,9.370000,,9.205489,,9.265184,12.086141,6.996809,13.909983,,8.606938
2002,9.824180,15.302462,9.253683,10.060000,,9.980627,,9.580474,13.061477,6.780535,14.415389,,9.818455
2003,9.982498,17.014275,9.758438,10.490000,,10.452518,,9.050009,15.106954,7.382654,15.343759,,11.529167
2004,10.767100,20.272719,11.109062,11.930000,,11.821717,,9.527519,17.929066,7.706636,17.058680,,13.122847
2005,10.777419,14.871431,11.399734,12.150000,,12.079575,,10.098488,15.907118,8.862612,17.171002,,14.417716
2006,10.800884,13.908365,11.238232,11.990000,,11.910985,,9.717435,14.302269,8.321060,17.420310,,14.888039
2007,10.371887,14.848185,10.658044,11.390000,,11.306903,,8.895186,15.076241,8.233920,17.695072,,11.883365
2008,9.975629,9.203179,10.573729,11.250000,,11.172490,9.190574,10.299179,10.340511,8.893332,18.142651,,15.858642
2009,9.402448,9.134464,10.013059,10.640000,,10.630350,9.132068,9.864558,9.506919,7.048018,17.200955,,9.419646
2010,10.254080,9.254460,10.592776,11.240000,9.256485,11.197591,9.243261,10.010227,9.541853,8.331658,18.364258,10.115791,10.779669
2011,9.860962,8.315134,10.480536,11.130000,8.317207,11.102366,8.466438,9.793642,9.709103,8.346233,19.435457,9.181785,12.177621
2012,9.906883,8.321866,,10.910000,8.351996,10.872003,8.352034,10.533343,9.612124,,18.636355,8.040066,12.031487
2013,9.630112,8.318161,,10.360000,8.347306,10.338725,8.179798,11.464968,9.856498,,18.774091,8.846848,11.608368
2014,9.657935,8.270310,,9.850000,8.295720,9.823495,8.299710,12.530431,10.297996,,17.588578,8.098098,11.330906
2015,10.103407,,,9.340000,9.286910,9.350996,9.292415,12.836995,,,17.219441,9.300533,11.002896
2016,9.819728,,,9.080000,9.152473,9.094195,9.212714,11.589187,,,7.813017,8.864471,9.828676
2017,9.949284,,,9.200000,9.217737,9.267992,9.220254,11.511314,,,7.937966,8.376044,9.719218
2018,10.497788,,,9.548973,9.271502,9.573905,9.261414,12.181338,,,8.630066,8.331149,9.594143
2019,10.546230,,,9.739865,9.746191,9.769623,9.755402,12.022209,,,8.327485,8.995194,9.321202
2020,11.441787,,,11.970944,8.961508,8.067690,8.942972,13.355209,,,9.557909,8.432438,8.004598
2021,11.286782,,,11.514803,,8.429713,9.293009,12.991969,,,8.985325,,8.775508
2022,11.604458,,,,,,,13.950266,,,,,
