"Year","MKD production Eora 199.082 (2023)","MKD consumption Eora 199.082 (2023)","MKD net_trade Eora 199.082 (2023)"
1970,6.740000,4.281954,-2.458046
1971,7.030000,4.872934,-2.157066
1972,6.630000,3.402320,-3.227680
1973,7.800000,4.633961,-3.166039
1974,7.840000,4.541421,-3.298579
1975,7.600000,5.077833,-2.522167
1976,7.850000,5.697803,-2.152197
1977,7.600000,6.475396,-1.124604
1978,8.150000,6.686916,-1.463084
1979,8.950000,7.527885,-1.422115
1980,8.500000,6.964085,-1.535915
1981,9.370000,7.678521,-1.691479
1982,8.170000,6.708957,-1.461043
1983,8.650000,6.568354,-2.081646
1984,9.280000,6.763109,-2.516891
1985,9.500000,8.391036,-1.108964
1986,9.840000,4.215973,-5.624027
1987,9.730000,3.842097,-5.887903
1988,10.100000,7.722023,-2.377977
1989,10.100000,9.348428,-0.751572
1990,10.100000,9.690490,-0.409510
1991,9.410000,8.496683,-0.913317
1992,8.840000,7.037881,-1.802119
1993,9.240000,2.703100,-6.536900
1994,8.950000,5.187000,-3.763000
1995,9.140000,8.791636,-0.348364
1996,8.850000,8.078503,-0.771497
1997,9.610000,8.201815,-1.408185
1998,10.300000,9.357276,-0.942724
1999,9.940000,9.055094,-0.884906
2000,9.580000,8.937079,-0.642921
2001,9.710000,8.672297,-1.037703
2002,10.100000,8.991080,-1.108920
2003,9.350000,8.621479,-0.728521
2004,9.110000,8.680624,-0.429376
2005,9.890000,9.249094,-0.640906
2006,8.950000,8.705524,-0.244476
2007,9.470000,9.478524,0.008524
2008,9.520000,9.830862,0.310862
2009,9.610000,9.549338,-0.060662
2010,9.710000,9.587600,-0.122400
2011,9.790000,9.906193,0.116193
2012,9.890000,9.851480,-0.038520
2013,8.980000,9.162496,0.182496
2014,8.490000,8.712866,0.222866
2015,8.130000,8.576493,0.446493
2016,8.050000,6.376221,-1.673779
2017,8.570000,6.415482,-2.154518
2018,8.570000,7.737684,-0.832316
2019,8.570000,7.703107,-0.866893
2020,8.570000,7.763428,-0.806572
2021,8.570000,7.721290,-0.848710
2022,8.570000,7.759396,-0.810604
