"Year","MNE production Eora 199.082 (2023)","MNE consumption Eora 199.082 (2023)"
1970,1.620000,1.099120
1971,1.740000,0.859412
1972,1.620000,0.256615
1973,1.870000,0.293122
1974,1.890000,0.352899
1975,2.040000,0.984750
1976,2.060000,1.294329
1977,1.980000,1.928167
1978,2.190000,2.057732
1979,2.360000,2.510657
1980,2.310000,2.491642
1981,2.570000,2.721038
1982,2.350000,2.280147
1983,2.540000,1.953182
1984,2.710000,1.461745
1985,2.640000,3.003412
1986,2.870000,-4.854502
1987,2.830000,-6.320827
1988,2.910000,0.707972
1989,2.760000,3.126564
1990,2.770000,2.933241
1991,2.820000,2.933634
1992,2.150000,1.515221
1993,1.780000,-3.089190
1994,1.600000,-1.190492
1995,1.020000,1.122758
1996,2.040000,1.833574
1997,2.150000,2.154815
1998,2.560000,2.505733
1999,2.580000,2.528975
2000,2.720000,2.636174
2001,2.340000,2.370935
2002,2.840000,2.855971
2003,2.730000,2.812397
2004,2.730000,2.833163
2005,2.490000,2.620454
2006,2.610000,2.828605
2007,2.620000,2.969151
2008,3.170000,3.645248
2009,2.110000,2.674111
2010,2.790000,3.598926
2011,3.020000,3.982677
2012,2.880000,3.736271
2013,2.550000,3.411299
2014,2.450000,3.250839
2015,2.600000,3.404553
2016,2.690000,1.054512
2017,2.720000,0.704011
2018,2.782938,3.648730
2019,2.809950,3.673158
2020,2.822582,3.772313
2021,2.851446,3.742986
2022,2.766121,3.656412
