"Year","MNG production Eora 199.082 (2023)","MNG production GCB 2023v26","MNG consumption Eora 199.082 (2023)","MNG consumption GCB 2023v26","MNG net_trade Eora 199.082 (2023)","MNG net_trade GCB 2023v26"
1970,3.560000,,2.979643,,-0.580357,
1971,3.780000,,2.857728,,-0.922272,
1972,4.090000,,2.698851,,-1.391149,
1973,4.340000,,2.759721,,-1.580279,
1974,4.680000,,3.145467,,-1.534533,
1975,5.060000,,4.063748,,-0.996252,
1976,5.470000,,4.884310,,-0.585690,
1977,6.180000,,6.510538,,0.330538,
1978,7.180000,,7.568335,,0.388335,
1979,7.820000,,8.745673,,0.925673,
1980,8.530000,,9.698073,,1.168073,
1981,8.240000,,9.554374,,1.314374,
1982,8.380000,,9.497049,,1.117049,
1983,8.670000,,9.491611,,0.821611,
1984,8,,8.386340,,0.386340,
1985,11.200000,,13.774740,,2.574740,
1986,12,,5.813218,,-6.186782,
1987,13.100000,,5.915818,,-7.184182,
1988,14.300000,,14.448490,,0.148490,
1989,13,,16.078960,,3.078960,
1990,11,9.791058,12.651130,8.914163,1.651130,-0.876895
1991,12.600000,11.959794,14.172310,8.749755,1.572310,-3.210039
1992,11,10.942613,9.887668,9.180854,-1.112332,-1.761759
1993,10.200000,9.193024,4.628677,6.057698,-5.571323,-3.135326
1994,8.900000,7.864772,5.612437,5.836016,-3.287563,-2.028756
1995,8.730000,7.837062,7.397961,5.946947,-1.332039,-1.890115
1996,7.130000,7.935414,5.587373,7.484468,-1.542627,-0.450946
1997,6.950000,7.615103,3.873196,6.075714,-3.076804,-1.539390
1998,7.050000,7.621516,3.209648,6.398463,-3.840352,-1.223053
1999,7.020000,7.487592,3.161182,6.619352,-3.858818,-0.868240
2000,7.340000,7.431864,2.413363,7.050294,-4.926637,-0.381570
2001,7.350000,7.803958,3.526496,7.491467,-3.823504,-0.312491
2002,7.890000,8.196568,3.817989,7.791639,-4.072011,-0.404929
2003,7.800000,7.930054,4.530778,8.289407,-3.269222,0.359354
2004,7.930000,8.501100,5.036028,8.502141,-2.893972,0.001041
2005,9.630000,8.515078,5.583036,8.725095,-4.046964,0.210016
2006,11.300000,9.281176,6.908670,9.576258,-4.391330,0.295082
2007,11.700000,11.957832,7.595415,12.256327,-4.104585,0.298495
2008,11.600000,11.917791,8.790937,13.085147,-2.809063,1.167357
2009,12,13.026382,8.823489,13.449694,-3.176511,0.423312
2010,12.600000,13.772318,9.081531,14.677552,-3.518469,0.905234
2011,14,21.367866,10.278590,23.301285,-3.721410,1.933419
2012,15.500000,34.999854,11.778670,36.681230,-3.721330,1.681376
2013,16.600000,43.478034,12.729200,43.468951,-3.870800,-0.009083
2014,16.100000,29.626122,11.894000,29.179491,-4.206000,-0.446631
2015,16.900000,23.282274,11.938810,23.509742,-4.961190,0.227468
2016,19.100000,25.629140,18.047090,23.802430,-1.052910,-1.826710
2017,19.700000,34.135351,18.036360,30.455136,-1.663640,-3.680215
2018,20.273310,45.315646,19.753080,40.990974,-0.520230,-4.324672
2019,21.290470,47.254523,20.808090,42.015388,-0.482380,-5.239135
2020,22.248330,37.076765,21.632530,33.571787,-0.615800,-3.504978
2021,23.210660,38.244439,22.275790,35.227369,-0.934870,-3.017070
2022,22.496730,,22.057620,,-0.439110,
