"Year","MRT production Eora 199.082 (2023)","MRT consumption Eora 199.082 (2023)"
1970,0.445000,0.002762
1971,0.415000,-0.339555
1972,0.460000,-0.723609
1973,0.486000,-0.865344
1974,0.502000,-0.744482
1975,0.530000,-0.223737
1976,0.536000,0.171710
1977,0.576000,0.889704
1978,0.607000,0.841045
1979,0.628000,1.215720
1980,0.649000,1.337866
1981,0.683000,1.433188
1982,0.913000,1.388033
1983,0.969000,0.815372
1984,0.902000,0.290901
1985,0.684000,1.534124
1986,0.419000,-4.758357
1987,3.400000,-2.057189
1988,3.340000,2.252283
1989,2.950000,3.274234
1990,0.955000,1.413300
1991,0.894000,1.363525
1992,0.908000,0.652526
1993,0.978000,-3.623873
1994,1.210000,-1.222562
1995,1.140000,1.308977
1996,1.180000,1.196725
1997,1.210000,1.376105
1998,1.190000,1.243948
1999,1.220000,1.261241
2000,1.220000,1.211418
2001,1.290000,1.306114
2002,1.400000,1.375459
2003,1.450000,1.512453
2004,1.590000,1.721930
2005,1.640000,1.815613
2006,1.820000,1.779518
2007,2.090000,2.060698
2008,2.070000,2.088321
2009,2.370000,2.302834
2010,2.610000,2.444533
2011,2.740000,2.626236
2012,2.840000,2.709684
2013,2.880000,2.982521
2014,2.900000,2.941293
2015,3.260000,3.229853
2016,3.490000,2.733084
2017,3.670000,2.575039
2018,3.682957,3.620165
2019,3.893887,3.764556
2020,4.099868,3.942433
2021,4.315059,4.017806
2022,4.418883,3.990524
