"Year","NIC production Eora 199.082","NIC production GCB 2023v26"
1990,1.970000,2.043946
1991,1.980000,1.986324
1992,2.300000,2.372617
1993,2.260000,2.282398
1994,2.560000,2.517961
1995,2.720000,2.755058
1996,2.890000,2.847245
1997,3.100000,3.114466
1998,3.580000,3.392724
1999,3.630000,3.597173
2000,3.770000,3.721323
2001,4.000000,3.921750
2002,4.130000,3.989804
2003,4.280000,4.335226
2004,4.440000,4.377836
2005,4.310000,4.270096
2006,4.580000,4.418076
2007,4.710000,4.550682
2008,4.540000,4.365500
2009,4.490000,4.445091
2010,4.660000,4.467845
2011,4.850000,4.805903
2012,4.830000,4.549767
2013,4.670000,4.605408
2014,4.930000,4.745122
2015,5.580000,5.430953
2016,5.620000,5.406146
2017,5.670000,5.461305
2018,5.673676,5.199214
2019,5.858757,5.222552
2020,5.858757,4.748407
2021,5.858757,5.371884
2022,,
