"Year","PAN production Eora 199.082","PAN production GCB 2023v26","PAN consumption Eora 199.082","PAN consumption GCB 2023v26"
1990,2.730000,2.631999,5.036495,2.959141
1991,3.160000,3.104491,6.008083,3.073571
1992,3.750000,4.112287,8.465263,3.595035
1993,3.840000,3.784946,12.244183,3.472205
1994,4.080000,4.177258,11.878666,3.628658
1995,4.390000,3.652970,7.263800,3.576631
1996,4.430000,4.446773,14.097529,4.189792
1997,4.670000,4.630072,7.308625,4.317640
1998,5.730000,5.900714,8.167880,5.399252
1999,5.030000,5.622234,7.173150,5.809160
2000,5.210000,5.728391,7.449289,4.816624
2001,6.220000,6.953090,7.979775,5.179389
2002,5.430000,5.821097,7.275638,4.819737
2003,5.550000,6.090004,7.463097,-0.379601
2004,5.640000,5.710970,7.793341,-0.297387
2005,7.210000,6.971338,9.153895,-1.753521
2006,7.590000,7.524040,9.550769,-0.270388
2007,7.330000,7.349627,9.677920,0.564264
2008,7.240000,7.334595,9.718511,0.090568
2009,8.670000,8.460693,10.721849,1.193439
2010,9.430000,9.072099,11.993611,1.151974
2011,10.200000,9.952930,13.423579,0.020432
2012,10.660000,9.768100,14.023549,-2.150728
2013,10.810000,10.513283,14.063947,-1.202501
2014,11.460000,10.855411,14.593343,0.218704
2015,11.580000,10.788440,14.642403,1.396350
2016,11.660000,10.438870,13.360113,2.214062
2017,11.110000,11.223156,13.084060,17.912326
2018,11.230624,10.755982,14.032729,17.128047
2019,11.633576,13.380774,13.742108,17.442282
2020,18.148114,10.324345,17.918439,15.957848
2021,22.802737,11.689670,21.020282,15.659173
2022,,,,
