"Year","SLV production Eora 199.082 (2023)","SLV production GCB 2023v26","SLV consumption Eora 199.082 (2023)","SLV consumption GCB 2023v26","SLV net_trade Eora 199.082 (2023)","SLV net_trade GCB 2023v26"
1970,1.620000,,1.146884,,-0.473116,
1971,1.760000,,0.952861,,-0.807139,
1972,1.930000,,0.655348,,-1.274652,
1973,2.230000,,0.739045,,-1.490955,
1974,2.230000,,0.776665,,-1.453335,
1975,2.370000,,1.348387,,-1.021613,
1976,2.500000,,1.796120,,-0.703880,
1977,2.570000,,2.472931,,-0.097069,
1978,2.740000,,2.605977,,-0.134023,
1979,2.620000,,2.713787,,0.093787,
1980,2.350000,,2.461123,,0.111123,
1981,2.170000,,2.336001,,0.166001,
1982,2,,2.025412,,0.025412,
1983,2.190000,,1.802542,,-0.387458,
1984,1.840000,,1.296585,,-0.543415,
1985,2.250000,,2.876100,,0.626100,
1986,2.250000,,0.083782,,-2.166218,
1987,2.710000,,0.409281,,-2.300719,
1988,2.730000,,2.499837,,-0.230163,
1989,2.830000,,4.019481,,1.189481,
1990,2.720000,2.475071,3.976597,4.106930,1.256597,1.631860
1991,3.400000,3.154717,4.589171,4.691854,1.189171,1.537138
1992,3.560000,3.316777,4.111145,5.010621,0.551145,1.693844
1993,3.990000,3.975594,1.268853,5.439394,-2.721147,1.463800
1994,4.790000,4.512672,3.879699,6.054903,-0.910301,1.542231
1995,5.170000,4.998356,6.760328,6.631704,1.590328,1.633348
1996,4.740000,4.414490,6.143697,6.112373,1.403697,1.697883
1997,5.750000,5.415735,7.107145,7.240233,1.357145,1.824499
1998,6,5.731188,7.881833,8.165088,1.881833,2.433900
1999,5.890000,5.587859,7.820327,7.912412,1.930327,2.324553
2000,5.900000,5.670975,8.296348,8.305002,2.396348,2.634027
2001,6.110000,5.857395,8.381854,8.327846,2.271854,2.470451
2002,6.140000,6.069883,8.402465,8.282545,2.262465,2.212662
2003,6.590000,6.434851,8.865313,8.441736,2.275313,2.006885
2004,6.490000,6.253812,8.840887,7.994433,2.350887,1.740621
2005,6.600000,6.297707,9.008833,8.254552,2.408833,1.956845
2006,7.020000,6.717812,9.675449,9.152231,2.655449,2.434420
2007,7.150000,6.845580,10.164910,9.128301,3.014910,2.282721
2008,6.760000,6.404717,9.910647,8.878530,3.150647,2.473813
2009,6.680000,6.312459,9.409287,7.902685,2.729287,1.590226
2010,6.730000,6.318629,9.650948,7.922372,2.920948,1.603743
2011,6.960000,6.499405,10.103190,8.382626,3.143190,1.883221
2012,7.060000,6.471882,10.355300,7.945578,3.295300,1.473696
2013,6.560000,6.094472,10.013250,7.895433,3.453250,1.800961
2014,6.650000,6.151155,10.164590,7.978809,3.514590,1.827653
2015,8.270000,6.667772,11.463720,8.598741,3.193720,1.930969
2016,8.610000,6.595795,10.758370,8.492574,2.148370,1.896779
2017,8.570000,5.969700,10.667740,7.847704,2.097740,1.878004
2018,8.746417,6.262603,11.159060,8.759291,2.412643,2.496687
2019,9.042406,7.549650,11.296490,9.505613,2.254084,1.955963
2020,9.340113,6.594499,11.920510,8.596407,2.580397,2.001908
2021,9.643020,7.470958,11.868950,9.587318,2.225930,2.116360
2022,9.390686,,11.750850,,2.360164,
