"Year","TGO production Eora 199.082 (2023)","TGO production GCB 2023v26"
1970,0.136000,
1971,0.154000,
1972,0.233000,
1973,0.238000,
1974,0.236000,
1975,0.261000,
1976,0.292000,
1977,0.381000,
1978,0.358000,
1979,0.853000,
1980,0.507000,
1981,0.465000,
1982,0.517000,
1983,0.413000,
1984,0.454000,
1985,0.466000,
1986,0.588000,
1987,0.640000,
1988,0.669000,
1989,0.714000,
1990,0.699000,0.977644
1991,0.736000,1.049806
1992,0.866000,1.030496
1993,0.801000,1.068807
1994,0.967000,1.006679
1995,1.300000,1.174741
1996,1.550000,1.265171
1997,1.170000,0.878986
1998,1.370000,1.289967
1999,1.990000,1.850434
2000,1.550000,1.331372
2001,1.460000,1.158913
2002,1.630000,1.322471
2003,2.120000,1.804731
2004,2.040000,1.743929
2005,2.020000,1.721591
2006,1.840000,1.500506
2007,1.710000,1.516752
2008,1.850000,1.522778
2009,3.100000,2.740838
2010,2.910000,2.595698
2011,2.800000,2.503920
2012,2.520000,2.215629
2013,2.620000,1.642552
2014,2.820000,1.541898
2015,3.600000,1.863341
2016,3.800000,2.311978
2017,3.950000,1.991390
2018,4.017703,2.165189
2019,4.228692,2.414997
2020,4.455610,2.381218
2021,4.696350,2.552459
2022,4.814591,
