"Year","UGA production Eora 199.082","UGA production GCB 2023v26","UGA consumption Eora 199.082","UGA consumption GCB 2023v26"
1990,0.650000,0.760855,1.343812,1.533203
1991,0.810000,0.779805,1.531899,1.558133
1992,0.780000,0.797791,3.376927,1.610914
1993,0.790000,0.797457,7.021693,1.783593
1994,0.790000,0.708177,6.644539,1.723793
1995,0.840000,0.925485,1.864937,1.964969
1996,0.900000,1.018092,10.012569,1.719739
1997,1.030000,1.061946,2.126741,1.845036
1998,1.080000,1.208757,2.207782,2.532505
1999,1.120000,1.254724,2.218532,2.657307
2000,1.170000,1.360870,2.288064,2.844736
2001,1.330000,1.417088,2.602863,2.841414
2002,1.350000,1.446221,2.689103,2.952667
2003,1.530000,1.512626,2.956412,2.739695
2004,1.600000,1.607486,3.250696,2.968853
2005,1.680000,2.017931,3.541044,3.553502
2006,1.880000,2.383386,4.108881,4.041321
2007,2.170000,2.709990,4.655276,4.522141
2008,3.700000,2.779614,6.536342,4.782507
2009,3.520000,2.999798,6.399903,5.422630
2010,3.770000,3.569619,7.052204,5.956025
2011,4.330000,3.824069,7.771849,6.515943
2012,4.550000,3.626987,8.135274,5.930505
2013,4.480000,3.754530,8.098556,6.018699
2014,4.560000,4.089666,8.189113,6.532277
2015,4.700000,4.525570,8.293423,6.749534
2016,4.880000,4.795435,8.399103,6.974831
2017,5.060000,5.387882,8.778986,7.701296
2018,5.183609,5.523001,9.673028,7.764578
2019,5.339553,5.731925,9.593897,7.969250
2020,5.517751,5.538408,9.963638,7.592053
2021,5.666352,6.039968,10.040363,8.399413
2022,,,,
