"Year","USA production EXIOBASE 3.8.2","USA production WIOD2016","USA production OECDv2","USA production Eora 199.082 (2023)","USA production FIGARO April 2022","USA production GCB 2023v26"
1970,,,,4850,,
1971,,,,4810,,
1972,,,,5030,,
1973,,,,5270,,
1974,,,,5070,,
1975,,,,4820,,
1976,,,,5070,,
1977,,,,5200,,
1978,,,,5360,,
1979,,,,5390,,
1980,,,,5170,,
1981,,,,4970,,
1982,,,,4670,,
1983,,,,4710,,
1984,,,,4880,,
1985,,,,4870,,
1986,,,,4870,,
1987,,,,5080,,
1988,,,,5320,,
1989,,,,5380,,
1990,,,,5250,,5120.957207
1991,,,,5200,,5062.956718
1992,,,,5310,,5174.227507
1993,,,,5420,,5272.850808
1994,,,,5520,,5364.279285
1995,5200.540311,,5130.322976,5580,,5425.259696
1996,5359.944140,,5295.986938,5760,,5612.982752
1997,5531.692316,,5474.307591,5830,,5688.142511
1998,5554.185457,,5468.770698,5880,,5733.280550
1999,5582.562346,,5496.876779,5950,,5803.917834
2000,5791.536799,5853.864127,5691.303506,6110,,6010.135928
2001,5749.462129,5804.550719,5670.566601,6020,,5907.739935
2002,5684.503705,5608.500004,5598.404755,6050,,5946.308145
2003,5761.025362,5659.334499,5673.344261,6100,,6010.145463
2004,5853.627462,5721.537822,5760.715012,6210,,6112.654584
2005,5879.816421,5765.271455,5770.570853,6230,,6132.183270
2006,5782.510718,5679.178395,5684.771645,6150,,6052.686215
2007,5866.904309,5763.440467,5763.073697,6220,,6130.122760
2008,5687.491955,5586.306348,5586.897815,6010,,5915.118465
2009,5275.720598,5160.508787,5181.126348,5570,,5480.725731
2010,5510.520192,5403.981649,5425.004931,5780,5576.791625,5679.715249
2011,5377.850742,5253.196671,5286.122128,5650,5371.204261,5546.116067
2012,5200.060290,5076.372899,,5450,5149.027129,5344.085980
2013,5273.830307,5176.445269,,5590,5277.280528,5480.156537
2014,5346.758585,5257.452258,,5640,5294.242842,5528.681067
2015,5185.845272,,,5480,5170.634063,5376.473125
2016,5090.801504,,,5360,5061.596928,5252.932175
2017,5026.168836,,,5320,4985.663380,5212.162345
2018,5184.142309,,,5396.780000,5149.259259,5377.797353
2019,5057.140271,,,5354.251000,5035.503518,5262.145074
2020,5098.347888,,,5280.269000,4688.035947,4714.628032
2021,5067.103460,,,5181.615000,,5032.212819
2022,4914.411660,,,4796.013000,,
