"Year","VEN production Eora 199.082","VEN production GCB 2023v26"
1990,102.570000,121.823036
1991,101.150000,115.052176
1992,103.490000,105.576784
1993,110.230000,123.966331
1994,110.640000,119.765340
1995,119.810000,124.730817
1996,127.990000,118.253256
1997,133.750000,129.666984
1998,135.460000,170.367145
1999,124.920000,143.049709
2000,132.660000,142.834897
2001,139.670000,130.533930
2002,136.850000,164.152853
2003,136.930000,154.262150
2004,144.390000,142.766890
2005,152.620000,148.310636
2006,149.570000,155.596930
2007,147.350000,153.962120
2008,177.730000,155.505171
2009,178.840000,151.848175
2010,189.150000,189.316725
2011,171.000000,168.413148
2012,199.030000,175.719560
2013,188.620000,198.427028
2014,188.220000,175.961378
2015,168.690000,165.853108
2016,155.140000,152.385309
2017,136.380000,138.226898
2018,122.577210,100.734477
2019,110.057333,87.611623
2020,98.232479,61.956239
2021,87.160570,71.561894
2022,,
