"Year","WSM production Eora 199.082 (2023)","WSM consumption Eora 199.082 (2023)","WSM net_trade Eora 199.082 (2023)"
1970,0.030300,-0.246289,-0.276589
1971,0.037600,-0.470949,-0.508549
1972,0.037600,-0.788529,-0.826129
1973,0.037600,-0.991591,-1.029191
1974,0.034000,-1.049657,-1.083657
1975,0.059600,-0.658677,-0.718277
1976,0.048600,-0.450493,-0.499093
1977,0.081700,0.076721,-0.004979
1978,0.107000,0.035518,-0.071482
1979,0.096300,0.240785,0.144485
1980,0.100000,0.246128,0.146128
1981,0.104000,0.227204,0.123204
1982,0.115000,0.066598,-0.048402
1983,0.115000,-0.297448,-0.412448
1984,0.115000,-0.484570,-0.599570
1985,0.115000,0.315372,0.200372
1986,0.115000,-1.787418,-1.902418
1987,0.115000,-1.938934,-2.053934
1988,0.115000,-0.499364,-0.614364
1989,0.122000,0.327846,0.205846
1990,0.104000,0.249512,0.145512
1991,0.107000,0.257852,0.150852
1992,0.111000,-0.325158,-0.436158
1993,0.111000,-3.024236,-3.135236
1994,0.115000,-1.685842,-1.800842
1995,0.118000,0.202927,0.084927
1996,0.126000,0.058866,-0.067134
1997,0.129000,0.216854,0.087854
1998,0.133000,0.188220,0.055220
1999,0.137000,0.196147,0.059147
2000,0.144000,0.179693,0.035693
2001,0.148000,0.208503,0.060503
2002,0.148000,0.210811,0.062811
2003,0.155000,0.229555,0.074555
2004,0.152000,0.236498,0.084498
2005,0.163000,0.251748,0.088748
2006,0.166000,0.257496,0.091496
2007,0.174000,0.269344,0.095344
2008,0.181000,0.271812,0.090812
2009,0.188000,0.279555,0.091555
2010,0.188000,0.283569,0.095569
2011,0.203000,0.305057,0.102057
2012,0.199000,0.290500,0.091500
2013,0.199000,0.292428,0.093428
2014,0.223000,0.293026,0.070026
2015,0.233000,0.301364,0.068364
2016,0.264000,0.030499,-0.233501
2017,0.273000,-0.020279,-0.293279
2018,0.274620,0.378330,0.103710
2019,0.292483,0.399436,0.106953
2020,0.311365,0.419667,0.108302
2021,0.328386,0.430895,0.102509
2022,0.262129,0.389734,0.127605
