"Year","ZAF production EXIOBASE 3.8.2","ZAF production OECDv2","ZAF production Eora 199.082 (2023)","ZAF production FIGARO April 2022","ZAF production GCB 2023v26","ZAF consumption EXIOBASE 3.8.2","ZAF consumption OECDv2","ZAF consumption Eora 199.082 (2023)","ZAF consumption FIGARO April 2022","ZAF consumption GCB 2023v26"
1970,,,188,,,,,179.228200,,
1971,,,201,,,,,191.479200,,
1972,,,205,,,,,193.086000,,
1973,,,209,,,,,198.051800,,
1974,,,209,,,,,199.680900,,
1975,,,207,,,,,198.286900,,
1976,,,213,,,,,203.180600,,
1977,,,215,,,,,204.511300,,
1978,,,214,,,,,203.865800,,
1979,,,235,,,,,223.407200,,
1980,,,238,,,,,234.288200,,
1981,,,263,,,,,260.164300,,
1982,,,272,,,,,260.622300,,
1983,,,275,,,,,257.315800,,
1984,,,303,,,,,275.404800,,
1985,,,310,,,,,274.789000,,
1986,,,314,,,,,267.343800,,
1987,,,313,,,,,266.285400,,
1988,,,327,,,,,286.748900,,
1989,,,325,,,,,284.157300,,
1990,,,300,,312.930226,,,262.659100,,219.188499
1991,,,310,,326.026708,,,267.966700,,241.021564
1992,,,287,,301.325411,,,242.157900,,228.219728
1993,,,306,,320.345312,,,244.012300,,239.210210
1994,,,325,,338.697562,,,273.074800,,257.114897
1995,270.511307,274.448994,346,,361.693611,238.141961,225.900016,295.987900,,270.839035
1996,280.462172,284.730333,351,,363.732331,198.925944,230.923258,294.578700,,264.467596
1997,295.645875,299.055744,373,,385.222743,210.593804,247.051816,306.915400,,278.597680
1998,303.051025,306.511114,368,,377.262459,202.980953,243.200692,302.672500,,269.410900
1999,285.370503,289.977548,366,,374.891007,200.456803,230.140269,299.020700,,293.148698
2000,291.999606,297.077241,368,,378.306871,193.409782,230.911864,298.945400,,286.268867
2001,279.901344,282.810882,367,,371.623973,183.974925,223.854173,290.308500,,272.660365
2002,291.963619,293.777043,380,,356.523118,193.537489,226.160020,298.506400,,254.017365
2003,317.966152,319.873060,403,,404.409657,232.072010,259.469704,322.402400,,279.061354
2004,343.487268,335.769777,421,,449.306966,257.883331,281.460959,345.726500,,322.793933
2005,348.648903,329.407017,415,,416.201202,263.898215,281.593601,345.372600,,299.100517
2006,351.609971,330.801221,423,,446.770029,267.408384,288.271804,355.284400,,333.375181
2007,362.791529,355.829008,450,,465.044619,280.711952,307.915445,374.134600,,340.031722
2008,393.955910,384.524224,450,,495.170841,281.837970,320.449833,363.875400,,340.277492
2009,388.650790,365.626523,441,,480.572472,296.532502,317.397687,353.689700,,347.005632
2010,380.999577,376.508257,447,459.218711,462.999672,280.752146,323.889826,368.966300,351.503293,337.014306
2011,368.035371,361.674852,462,440.240755,465.907824,274.387761,316.122872,381.360800,334.253861,336.044415
2012,383.916707,,443,457.104994,458.954230,289.093458,,368.275800,360.991830,354.357992
2013,397.737901,,456,468.349996,458.628224,295.809565,,369.797300,366.543811,347.756504
2014,409.049635,,458,478.414967,471.865990,284.163693,,369.482400,359.729741,347.514137
2015,402.514922,,447,454.873648,446.221043,294.940438,,364.807600,346.337107,334.804816
2016,401.267669,,449,455.004767,456.972860,291.507473,,360.460800,338.649625,334.158795
2017,405.646225,,439,463.734049,439.380134,263.129104,,345.161300,352.422210,326.769283
2018,410.616227,,440.753100,461.032394,435.237186,279.916127,,348.647000,351.597863,323.900432
2019,416.800542,,435.897100,465.188646,465.429264,271.607436,,352.222600,355.514907,344.178398
2020,457.459310,,431.362900,378.521736,434.828632,294.091108,,355.175200,276.474114,315.802430
2021,418.922554,,427.050600,,425.509833,276.500758,,347.401100,,297.717227
2022,411.452346,,434.859000,,,263.368771,,361.244300,,
