"Year","ZMB production Eora 199.082","ZMB production GCB 2023v26","ZMB consumption Eora 199.082","ZMB consumption GCB 2023v26"
1990,2.980000,2.407113,4.198496,2.736698
1991,3.110000,2.381811,4.151464,2.935821
1992,3.120000,2.424693,6.091334,2.990484
1993,2.770000,2.466007,9.218856,3.168380
1994,2.360000,2.393258,7.825797,3.207474
1995,2.360000,2.142313,3.389875,3.181072
1996,1.980000,1.837995,9.747317,3.130809
1997,2.560000,2.354102,3.669753,4.074152
1998,2.340000,2.278458,3.395073,3.850254
1999,1.910000,1.777604,3.026605,3.255503
2000,1.960000,1.784113,2.840380,3.737569
2001,1.970000,1.885603,3.133383,3.988219
2002,2.080000,1.960891,3.222618,4.055570
2003,2.240000,2.074413,3.521626,3.915656
2004,2.300000,2.104131,4.104371,4.149157
2005,2.460000,2.242543,4.410621,4.043301
2006,2.370000,2.231118,5.023427,4.599377
2007,1.750000,2.294254,4.379558,5.687021
2008,1.880000,2.553028,4.905145,6.499738
2009,2.050000,2.940336,4.678772,5.388088
2010,2.290000,3.120300,5.189174,5.176935
2011,2.610000,3.372367,5.403374,6.726563
2012,3.630000,4.165843,6.396588,7.202890
2013,3.870000,4.416159,6.856001,7.571574
2014,4.340000,4.876557,7.184097,8.590498
2015,4.520000,5.064975,7.399524,8.237130
2016,4.960000,5.864282,9.751880,7.713609
2017,7.190000,6.850203,11.368360,8.116608
2018,7.623975,7.419369,11.379549,8.259938
2019,7.502521,7.750827,11.599557,8.859838
2020,4.525517,8.144346,9.272644,7.522653
2021,7.221680,8.651650,11.369382,7.607443
2022,,,,
