"Year","ZMB production Eora 199.082","ZMB production GCB 2023v26"
1990,2.980000,2.407113
1991,3.110000,2.381811
1992,3.120000,2.424693
1993,2.770000,2.466007
1994,2.360000,2.393258
1995,2.360000,2.142313
1996,1.980000,1.837995
1997,2.560000,2.354102
1998,2.340000,2.278458
1999,1.910000,1.777604
2000,1.960000,1.784113
2001,1.970000,1.885603
2002,2.080000,1.960891
2003,2.240000,2.074413
2004,2.300000,2.104131
2005,2.460000,2.242543
2006,2.370000,2.231118
2007,1.750000,2.294254
2008,1.880000,2.553028
2009,2.050000,2.940336
2010,2.290000,3.120300
2011,2.610000,3.372367
2012,3.630000,4.165843
2013,3.870000,4.416159
2014,4.340000,4.876557
2015,4.520000,5.064975
2016,4.960000,5.864282
2017,7.190000,6.850203
2018,7.623975,7.419369
2019,7.502521,7.750827
2020,4.525517,8.144346
2021,7.221680,8.651650
2022,,
