"Year","ZWE production Eora 199.082 (2023)","ZWE production GCB 2023v26","ZWE consumption Eora 199.082 (2023)","ZWE consumption GCB 2023v26"
1970,15.600000,,14.398300,
1971,15.200000,,13.705320,
1972,14.700000,,12.770660,
1973,16.900000,,14.590420,
1974,16.800000,,14.310980,
1975,13.100000,,11.419280,
1976,15.700000,,13.937610,
1977,14.300000,,13.199700,
1978,13.100000,,11.862690,
1979,14.600000,,13.422010,
1980,13.500000,,12.450330,
1981,12.700000,,11.961310,
1982,10.400000,,9.952236,
1983,10.400000,,9.523735,
1984,10.700000,,9.476423,
1985,11.400000,,11.526330,
1986,14.100000,,11.106080,
1987,15.600000,,12.213030,
1988,16.400000,,14.773580,
1989,16.100000,,16.133060,
1990,15.600000,15.551593,15.239420,17.999473
1991,16,15.501544,15.777610,17.451855
1992,16.900000,16.713458,15.416970,17.653659
1993,15.500000,16.046611,10.775040,16.790225
1994,17.400000,17.393590,13.967180,17.384146
1995,17.500000,15.028392,16.273580,15.949778
1996,18.700000,14.908902,17.369100,16.539848
1997,19.600000,13.911984,18.410990,14.965534
1998,21.100000,14.131139,17.204020,13.556473
1999,26.300000,15.727769,21.424030,14.021106
2000,25.400000,13.818202,19.217230,11.982823
2001,21.800000,12.508722,17.496490,11.385983
2002,19.600000,11.895839,15.850040,12.144020
2003,16.400000,10.609583,13.494380,11.458021
2004,13.400000,9.428642,10.976950,9.740350
2005,13.600000,10.698489,10.765010,10.930189
2006,11.400000,10.365461,9.087209,11.258772
2007,10.700000,9.835161,8.155669,11.032105
2008,8.400000,7.720094,6.155040,10.377317
2009,6,8.249769,5.153115,9.687178
2010,8.390000,8.754012,7.185792,9.264605
2011,10.200000,10.363199,1.979793,10.435418
2012,8.310000,11.253769,2.134033,11.884939
2013,12.100000,11.671374,2.209484,12.171604
2014,12.400000,11.946148,2.175481,12.743881
2015,12.900000,12.254954,2.188044,13.400556
2016,12.800000,10.533453,15.095390,11.746879
2017,13.600000,9.295629,15.468660,9.590650
2018,12.415830,10.714598,15.751240,10.626222
2019,10.865910,9.775428,14.495050,9.918432
2020,11.001360,7.849639,14.855130,8.667624
2021,11.164430,8.388339,14.634130,9.483932
2022,11.263030,,14.312510,
