"Year","Total","Fossil CO¿","CH¡","N¿O","F-gas","LULUCF"
1990,9.856684,6.625665,2.411412,0.819607,0,
1991,7.750026,4.624856,2.379769,0.745401,0,
1992,5.348522,2.382391,2.320109,0.646022,0,
1993,5.062934,2.046560,2.424977,0.591397,0,
1994,5.716320,2.184486,2.838585,0.693249,0,
1995,5.546189,1.952377,2.905744,0.688068,0,
1996,5.339867,1.985233,2.742847,0.611788,0,
1997,4.749207,1.566501,2.613142,0.569563,0,
1998,4.876396,1.844491,2.475514,0.556391,0,
1999,5.502618,2.436693,2.484557,0.581367,0,
2000,5.677237,2.601249,2.483937,0.592051,0,
2001,5.784186,2.765898,2.446911,0.571377,0,
2002,6.467464,3.402020,2.446613,0.618832,0,
2003,6.657303,3.613133,2.396250,0.647920,0,
2004,7.017591,3.960312,2.382150,0.675129,0,
2005,6.872582,3.834735,2.365700,0.672147,0,
2006,6.514758,3.516770,2.345229,0.652759,0,
2007,6.596435,3.745239,2.219509,0.631687,0,
2008,6.569667,3.837530,2.122176,0.609961,0,
2009,6.698664,4.051327,2.055551,0.591785,0,
2010,6.903879,4.214478,2.091379,0.598022,0,
2011,7.454047,4.739007,2.107036,0.608004,0,
2012,7.086283,4.325089,2.148238,0.612955,0,
2013,7.236805,4.429691,2.187391,0.619723,0,
2014,7.556882,4.715199,2.229492,0.612192,0,
2015,7.463040,4.581127,2.265005,0.616909,0,
2016,7.310670,4.361686,2.317214,0.631770,0,
2017,8.015585,4.998208,2.382523,0.634854,0,
2018,7.973160,4.975506,2.386546,0.611107,0,
2019,7.547433,4.606381,2.363815,0.577237,0,
2020,7.083184,4.319192,2.242728,0.521264,0,
2021,7.544512,4.849086,2.176815,0.518611,0,
2022,6.718993,4.188067,2.069639,0.461286,0,
