"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.780700,0.074300,0.746000,11.341000
1962,0.877000,0.069200,0.730000,10.534000
1963,0.726000,0.070900,0.682600,9.708000
1964,0.917000,0.091700,0.815200,10.660000
1965,0.934000,0.110800,1.046800,10.955000
1966,1.042000,0.135502,1.052000,5.619703
1967,0.868000,0.136612,0.944600,5.472740
1968,0.863000,0.160271,1.055600,6.179778
1969,0.923000,0.175108,1.163800,6.220815
1970,0.736000,0.189219,1.287000,6.223854
1971,0.760000,0.225654,1.433800,6.745893
1972,0.594000,0.273386,1.495600,6.811932
1973,0.388000,0.289020,1.544000,6.548971
1974,0.335000,0.324967,1.562000,7.041010
1975,0.480000,0.320544,1.300000,6.997051
1976,0.631000,0.334000,1.058000,7.601091
1977,0.859000,0.278000,1.078000,7.487132
1978,0.640000,0.300000,1.290000,7.147173
1979,0.908000,0.360000,1.578000,8.334213
1980,0.846000,0.411000,1.426000,8.057675
1981,0.980000,0.353000,1.338000,7.071554
1982,1.096000,0.342000,1.460000,7.771928
1983,1.121000,0.384000,1.798000,9.413290
1984,0.934000,0.355000,1.884000,9.528592
1985,0.901000,0.299000,1.728000,9.366264
1986,0.978000,0.360000,1.996000,8.703242
1987,1.139000,0.366000,2.054000,9.364637
1988,0.950000,0.300000,1.948000,10.139585
1989,0.950000,0.265000,1.834000,10.765390
1990,0.950000,0.246000,1.782000,10.230020
1991,0.950000,0.261000,1.930000,10.407976
1992,1.472000,0.342000,1.954000,11.710824
1993,0.998000,0.685000,1.700000,10.332318
1994,1.080000,0.499000,1.922000,10.774685
1995,1.329000,0.430000,2.050000,11.584529
1996,1.711000,0.618000,1.982000,11.494697
1997,1.170000,0.678000,2.266000,11.514314
1998,1.377000,0.752000,1.956000,12.304750
1999,1.600000,0.688000,2.024000,9.856602
2000,1.408000,0.782000,2.164000,10.703792
2001,1.442000,0.690000,2.300000,9.543261
2002,1.639000,0.690000,2.144000,11.545389
2003,1.790000,1.110000,2.424000,13.018128
2004,1.562000,1.513000,2.690000,15.003911
2005,1.739000,1.320000,3.540000,14.337344
2006,2.103000,1.331000,3.088000,14.027118
2007,1.516000,1.260000,3.062000,13.658208
2008,0.955000,1.443000,3.466000,13.119301
2009,2.151000,1.184000,2.938000,14.089211
2010,2.159000,1.284000,2.568000,15.009546
2011,2.151000,1.263000,2.474000,14.624000
2012,3.339000,1.191000,2.372000,16.496000
2013,3.614000,1.205000,2.430000,18.261000
2014,2.762600,1.082000,2.444880,15.033332
2015,3.131000,1.058000,2.548000,16.221000
2016,3.130000,1.158000,3.296000,16.979000
2017,4.020000,1.040873,3.478000,17.884109
2018,4.020000,1.062516,3.418000,16.976659
2019,4.020000,0.945413,3.356000,17.642496
2020,3.719740,1.014065,3.236000,17.195507
2021,3.827339,1.076767,3.490762,19.089000
2022,3.854000,1.233000,3.748000,19.298000
2023,3.854000,1.233000,3.856000,19.298000
