"Year","Coal","Oil","Gas","Cement"
1950,3.561408,25.582048,0,0.777737
1951,5.470352,27.304128,1.417968,0.770468
1952,4.507177,29.289324,1.535372,0.766834
1953,3.114400,30.008160,1.194464,0.817714
1954,3.722253,30.976032,1.208999,0.843070
1955,3.209664,34.199776,1.227440,0.923108
1956,3.814224,38.156896,1.304384,1.021234
1957,3.359888,41.619376,1.458272,1.170239
1958,3.781248,37.709888,1.480256,1.221119
1959,3.729952,42.575680,1.472928,1.170239
1960,3.905824,41.190688,2.363280,1.304708
1961,3.539424,42.121344,4.030400,1.435542
1962,2.007872,45.078192,5.107616,1.446445
1963,2.304656,40.644752,5.829424,1.253828
1964,2.557304,45.207121,6.466534,1.439082
1965,2.601440,47.324224,7.247392,1.631794
1966,2.586784,48.569984,7.848288,1.722651
1967,2.938857,49.777346,8.208278,1.755556
1968,2.366944,52.560080,9.141680,2.064273
1969,2.590448,60.573248,9.105040,2.147862
1970,3.286608,63.925808,10.281184,2.344113
1971,2.927536,69.319216,11.021312,2.738831
1972,2.857920,69.297232,12.468592,2.704533
1973,2.879904,71.209840,14.187008,2.578622
1974,3.367216,71.451664,14.923472,2.686738
1975,3.594384,68.912512,15.722224,2.729171
1976,3.242640,71.865696,16.466016,2.860208
1977,2.703934,72.702107,16.905081,3.009898
1978,3.836071,72.896340,16.425125,3.175306
1979,3.601712,79.072784,18.015888,3.359794
1980,2.865248,76.507984,19.565760,3.600709
1981,2.956848,70.059344,20.485424,3.362745
1982,2.660158,69.032208,23.248904,2.851737
1983,2.191072,68.674352,26.263552,2.857587
1984,2.147178,67.236715,27.301404,2.657754
1985,2.773547,60.435477,28.808982,2.363022
1986,3.392864,62.200064,30.964464,2.837852
1987,3.777584,66.453968,36.698624,3.227910
1988,4.023193,66.232463,42.232539,3.106344
1989,4.143984,59.752512,44.609200,2.299505
1990,3.140048,59.188256,43.213216,1.861591
1991,2.938528,61.232768,47.283920,2.168032
1992,3.107072,63.632688,48.302512,2.474472
1993,2.528239,67.152223,40.807241,2.780913
1994,3.561301,67.203064,42.676987,3.087353
1995,3.740944,62.833936,53.193952,2.759853
1996,3.114315,65.920890,57.541551,2.718041
1997,2.806624,66.868000,61.503904,3.232943
1998,3.154704,69.575696,61.613824,3.468193
1999,2.788304,72.723072,67.619120,3.330697
2000,2.359677,67.433988,69.438248,2.657108
2001,2.007817,64.334422,64.807065,2.348117
2002,1.579184,57.495488,62.617760,1.728091
2003,2.480461,59.355187,69.068187,2.219750
2004,2.531824,67.813312,82.912656,2.886733
2005,3.667664,71.799744,81.967344,3.380403
2006,3.968029,81.910662,83.867197,3.796711
2007,3.759264,77.951600,87.177552,4.180576
2008,3.975440,88.657808,90.119744,4.243143
2009,3.304860,82.379687,87.992820,4.007774
2010,4.081696,90.145392,86.928400,4.353361
2011,4.825488,86.906416,92.585616,4.694683
2012,5.078401,85.589013,95.383072,4.533282
2013,4.840051,87.487304,91.338094,4.568104
2014,5.536412,84.291958,92.843900,4.478648
2015,5.466688,86.954048,93.534592,4.635950
2016,4.191616,84.554128,96.300912,4.132609
2017,4.279552,80.857152,96.443808,4.527687
2018,4.356496,76.108608,96.125040,4.534537
2019,2.143397,76.609022,95.606476,4.298126
2020,3.224392,66.675290,89.084812,3.641663
2021,4.510384,85.440816,93.072928,4.848046
2022,4.730780,81.967344,89.620281,5.254691
2023,4.226369,79.240812,87.849043,5.036967
2024,3.161684,72.460659,89.168380,3.731036
