"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,3.212144,0.259430,0,2.751825,0.197537,0.003352
1991,3.794260,0.266364,0,3.323524,0.200725,0.003647
1992,3.307424,0.167294,0,2.931188,0.204666,0.004276
1993,2.871097,0.108242,0,2.563118,0.194894,0.004843
1994,2.674189,0.071996,0,2.409024,0.188987,0.004182
1995,2.328385,0.061070,0,2.078813,0.184000,0.004501
1996,2.635356,0.059251,0,2.387833,0.183923,0.004349
1997,2.569991,0.055168,0,2.326756,0.183383,0.004684
1998,2.398729,0.051801,0,2.159476,0.183048,0.004404
1999,2.442787,0.052029,0,2.204998,0.181596,0.004164
2000,2.120032,0.052839,0,1.880787,0.182041,0.004366
2001,2.331366,0.059612,0,2.081418,0.185135,0.005201
2002,2.539272,0.060543,0,2.280806,0.193369,0.004553
2003,2.629232,0.066971,0,2.355693,0.201836,0.004732
2004,2.776289,0.071321,0,2.489592,0.210499,0.004877
2005,2.723521,0.074001,0,2.429633,0.214893,0.004994
2006,2.904327,0.077747,0,2.599359,0.222182,0.005039
2007,2.793992,0.082357,0,2.483616,0.223812,0.004208
2008,2.671847,0.093572,0,2.338437,0.235697,0.004141
2009,2.653895,0.086652,0,2.318462,0.244678,0.004102
2010,2.612966,0.093547,0,2.256739,0.257007,0.005673
2011,2.823463,0.094770,0,2.456522,0.259591,0.012580
2012,3.223675,0.100157,0,2.843357,0.264897,0.015263
2013,3.453628,0.104476,0,3.061754,0.270731,0.016667
2014,3.501379,0.107729,0,3.100839,0.273700,0.019111
2015,3.640290,0.107540,0,3.234441,0.274046,0.024263
2016,4.130864,0.103203,0,3.733193,0.271226,0.023243
2017,3.528176,0.109183,0,3.122491,0.268158,0.028344
2018,3.448860,0.114487,0,3.042338,0.266498,0.025537
2019,4.127556,0.128038,0,3.702222,0.267971,0.029326
2020,3.273524,0.172411,0,2.806748,0.268885,0.025479
2021,3.299062,0.176255,0,2.825270,0.270859,0.026677
2022,3.168911,0.170568,0,2.699076,0.272369,0.026897
