"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,620.858900,297.338966,25.113316,94.242613,23.462259,180.701745
1991,601.575842,299.022457,24.307548,93.644228,23.382530,161.219080
1992,562.453856,305.376108,24.882913,90.773598,23.116247,118.304990
1993,541.376304,308.566488,24.625762,88.294029,22.934594,96.955430
1994,530.753753,309.428978,24.873838,88.176603,22.162114,86.112219
1995,518.244076,321.960168,24.637345,84.674514,22.090924,64.881125
1996,520.030683,328.371240,24.342935,86.652413,20.222456,60.441639
1997,518.559115,339.598441,24.415099,87.729630,19.912027,46.903918
1998,536.806042,353.781827,25.467502,87.726838,19.087114,50.742761
1999,557.462020,359.279206,25.913121,87.551134,19.211409,65.507149
2000,579.168756,368.291655,25.761827,91.003010,18.569014,75.543250
2001,594.574004,376.090085,26.592943,89.915216,18.871560,83.104200
2002,598.856419,379.442824,27.052515,89.677822,18.924556,83.758702
2003,598.100515,385.296768,29.522413,84.220245,16.308260,82.752828
2004,579.672206,395.821832,30.821100,87.461305,15.867788,49.700182
2005,611.931583,402.466553,30.125194,86.688580,15.714030,76.937226
2006,648.433085,408.457516,30.610421,85.594575,15.459990,108.310583
2007,630.781110,417.167515,32.653495,82.108148,15.851467,83.000485
2008,620.771440,422.541702,32.667676,79.385844,16.369090,69.807128
2009,615.338885,427.189726,30.499039,79.329065,16.190650,62.130406
2010,616.619415,421.948968,33.527188,76.722700,16.038639,68.381919
2011,585.553057,418.798972,34.354990,81.204541,15.578299,35.616254
2012,560.612665,423.243433,32.000446,82.582180,14.245191,8.541414
2013,563.013556,418.089840,29.780334,83.003913,13.270247,18.869222
2014,544.760219,410.403274,29.709608,83.237200,13.218426,8.191710
2015,540.133900,421.793192,30.512765,80.090627,12.708190,-4.970874
2016,496.835066,430.955996,30.602720,78.636292,13.069133,-56.429074
2017,536.720892,434.883837,31.190267,83.219430,13.316740,-25.889382
2018,508.322519,437.082157,31.750740,82.236729,12.804591,-55.551697
2019,496.254556,435.579142,32.495999,75.951244,13.255575,-61.027404
2020,477.710381,419.264950,31.856419,73.768766,13.457789,-60.637542
2021,439.924667,404.462921,32.754218,78.759447,13.589925,-89.641845
2022,440.620822,397.063601,32.885250,79.633674,14.040208,-83.001911
2023,453.448911,397.982945,32.986556,82.388420,13.792399,-73.701409
