"Year","CRF Production","FAO Production","CRF Import","FAO Import","CRF Export","FAO Export"
1960,2.629928,,1.017122,,0.117374,
1961,2.743421,3.407000,1.005757,0.826400,0.100970,0.095600
1962,2.557843,3.287000,0.829579,0.641500,0.114665,0.106600
1963,2.591274,3.081000,0.849706,0.657700,0.104906,0.089800
1964,2.787049,3.635000,0.935420,0.788600,0.110960,0.086300
1965,2.951691,3.700000,0.998265,0.829400,0.094029,0.066600
1966,2.899643,3.726000,0.932352,0.776700,0.071761,0.043400
1967,2.756109,3.602000,0.971410,0.755500,0.118329,0.093700
1968,2.796964,3.718000,1.045023,0.829300,0.071128,0.042700
1969,2.766283,3.510000,1.114706,0.891700,0.080860,0.042600
1970,2.860115,3.559000,1.078578,0.883100,0.091042,0.052100
1971,2.876141,3.479000,1.092090,0.926300,0.096030,0.045600
1972,2.912528,3.497000,1.048931,0.906000,0.090288,0.040700
1973,2.803539,3.490000,1.235905,1.090900,0.118736,0.083900
1974,2.868530,3.499000,1.355141,1.271000,0.098851,0.063100
1975,2.775237,3.511000,0.962796,0.909400,0.086459,0.068800
1976,2.643684,3.490000,1.083920,1.024900,0.055127,0.061884
1977,2.849781,3.488000,1.219246,1.166700,0.051841,0.056500
1978,2.819990,3.191000,0.964112,0.947200,0.057923,0.051800
1979,2.784334,3.168000,0.977061,0.968500,0.069396,0.069800
1980,3.019316,3.389000,0.982511,0.993400,0.083310,0.082600
1981,3.118722,3.553000,1.056079,1.060600,0.063285,0.060100
1982,2.963399,3.364000,1.136226,1.140600,0.055742,0.050600
1983,2.542938,2.991000,0.821733,0.826300,0.051280,0.044500
1984,2.721568,3.003000,1.065816,1.067900,0.044691,0.039500
1985,3.055950,3.216000,1.374134,1.394200,0.039370,0.035100
1986,3.131899,3.220000,1.243722,1.255600,0.041583,0.033600
1987,2.839367,3.131000,1.054748,1.070900,0.038873,0.012900
1988,2.782138,3.342000,1.247423,1.270200,0.034511,0.022600
1989,2.882578,3.165000,1.705361,1.724600,0.039419,0.022500
1990,3.128463,3.151000,1.388592,1.407300,0.030036,0.018200
1991,3.016975,2.858000,1.206701,1.238300,0.036704,0.020100
1992,3.112116,3.041000,1.174033,1.193100,0.053350,0.047432
1993,3.232519,3.187000,1.224738,1.193100,0.072541,0.032361
1994,3.631010,3.431000,1.088379,1.080400,0.185164,0.043900
1995,3.462627,3.691000,1.040044,1.058400,0.151096,0.053500
1996,3.519843,3.530000,0.729436,0.741900,0.138232,0.055400
1997,4.014988,3.544000,0.747233,0.757000,0.556833,0.060200
1998,4.162515,3.789000,0.790705,0.786000,0.377148,0.046000
1999,4.331639,3.743000,0.751650,0.782000,0.829495,0.087000
2000,5.013507,4.093000,0.951795,1.025000,1.186718,0.110000
2001,4.922474,3.921000,0.718921,0.584000,1.075547,0.136000
2002,5.248711,4.215000,0.755902,0.736000,1.225335,0.075000
2003,5.353035,4.411000,0.820830,0.778000,1.306239,0.068000
2004,5.592980,4.668000,0.874977,0.804000,1.428441,0.154000
2005,5.235684,4.687000,0.883895,0.701000,0.997455,0.243000
2006,5.379067,4.784000,0.741530,0.570000,1.156623,0.344000
2007,5.584512,5.064000,0.705607,0.575200,1.566851,0.377000
2008,5.494963,5.372000,0.838301,0.734000,1.409286,0.345000
2009,4.824620,4.730000,0.672185,0.531000,1.617783,0.325000
2010,5.390434,5.079000,0.772824,0.732527,2.030401,0.437214
2011,5.279554,4.556000,0.865973,0.703639,2.220664,0.265782
2012,5.305540,4.388000,0.806882,0.579596,2.099783,0.231602
2013,4.929326,4.593000,0.767916,0.645384,1.679170,0.282889
2014,5.679959,4.888000,0.828621,0.697998,2.456442,0.406549
2015,5.973096,5.084653,0.988643,0.759217,2.766224,0.348244
2016,6.646908,5.104045,0.904288,0.687784,3.391818,0.315720
2017,7.382443,4.726223,0.871804,0.659077,3.882792,0.327708
2018,7.610831,4.636081,1.107258,0.972963,4.298783,0.266017
2019,7.283129,4.509183,1.075727,0.579343,3.999822,0.256409
2020,7.364966,4.376682,0.743448,0.525728,3.965519,0.235388
2021,6.647266,4.376682,0.896160,0.714164,2.887458,0.175642
2022,4.984659,4.350000,1.338709,1.048262,1.240616,0.196722
2023,,4.257000,,0.557075,,0.174995
