"Year","Coal","Natural gas","Hydro","Wind","Solar"
2017,-5.603930,7.917140,-4.453200,-0.208821,1.616964
2018,-1.180881,-5.114187,2.742143,3.015869,3.540837
2019,-6.419871,4.311685,-3.235800,2.800726,6.325615
2020,-6.371384,-2.084265,0.552191,3.052042,5.941108
2021,-5.148130,-4.676269,1.728580,3.866745,8.370017
2022,-7.718936,2.942292,0.604197,4.115999,4.791714
2023,-3.198707,-4.008522,-1.665376,0.285175,7.813080
2024,1.608551,3.288487,-1.527811,3.017457,7.219884
2025,-4.852137,-4.359596,-0.571946,7.115943,2.006108
2026,-0.672644,-0.387378,0.126739,0.722846,0.732782
