"Year","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
1990,277.860607,277.868830,280.885866,279.763728,277.802532,277.802532,277.814892,277.921635,278.186697,278.222971,277.905076,276.137550,278.220349,278.265899,278.352790,278.424376,278.424376,278.424660,278.155404,278.154156,278.160268,278.160495,278.061016,278.067663
1991,279.599677,279.607554,282.401246,281.467720,279.560312,279.560312,279.054507,279.333269,279.620543,279.646328,279.326380,277.590305,279.717908,279.741639,279.807363,279.872364,279.872364,279.872660,279.529932,279.528510,279.534032,279.534253,279.437374,279.444194
1992,282.044535,282.055390,285.217364,286.419161,284.410293,284.410293,284.401272,284.538135,284.801243,284.815291,284.495663,282.530156,284.758315,284.766093,284.840060,284.912124,284.912124,284.912438,284.524959,284.525345,284.528773,284.529004,284.433456,284.440068
1993,285.510751,285.525401,289.676042,291.150964,289.055856,289.055856,288.854045,288.519699,288.812375,288.827541,288.499936,286.804382,289.141101,289.142268,289.230533,289.234856,289.234856,289.235186,288.871350,288.870537,288.873507,288.873747,288.780433,288.787602
1994,291.315732,291.325065,295.564308,296.000457,293.911870,293.911870,293.665870,293.293440,293.586542,293.602417,293.248411,291.375934,293.829195,293.830709,293.928812,294.014610,294.014610,294.014961,293.696154,293.696553,293.700920,293.701169,293.613294,293.620450
1995,301.038017,301.035739,305.606001,306.856389,304.440206,304.440206,304.309758,303.922598,304.212674,304.229177,303.867057,302.576426,304.924635,305.162544,305.260838,305.409799,305.409799,305.410167,305.002588,305.002996,305.055586,305.055849,304.962297,304.969937
1996,310.858217,310.855260,315.788220,314.419749,312.084785,312.084785,311.918365,311.498942,311.752239,311.759889,311.416755,309.524263,311.913668,311.914820,312.184873,312.361210,312.361210,312.361586,311.885717,311.886129,311.940494,311.940761,311.850888,311.858637
1997,318.169853,318.166838,322.492485,322.280799,320.093371,320.093371,320.093631,319.766072,320.036192,320.044058,319.730768,317.772253,320.438302,320.439117,320.558102,320.794696,320.794696,320.795086,320.282213,320.282630,320.332758,320.333024,320.242533,320.250789
1998,334.478371,334.475474,339.715634,335.850794,333.538534,333.538534,333.455109,333.004549,333.288049,333.297139,332.966546,331.123226,334.329580,334.328143,334.426787,334.684107,334.684107,334.684518,334.074452,334.075978,334.135545,334.135819,334.037766,334.045680
1999,344.148954,344.146894,348.954841,345.555953,343.336261,343.336261,343.236286,342.638535,343.142717,343.156605,342.789563,340.605442,343.712730,343.713907,343.850371,344.063336,344.063336,344.063766,343.488218,343.488633,343.959206,343.959481,343.876187,343.884390
2000,348.983636,348.980835,354.372975,352.582872,350.031722,350.031722,349.837353,349.270692,349.724255,349.736999,349.423180,346.620851,349.884008,349.885433,349.983936,350.194582,350.194582,350.195024,349.635061,349.635487,350.007696,350.007977,349.897655,349.905540
2001,354.554576,353.662670,360.632542,358.972658,356.681325,356.681325,355.990466,355.517619,356.039367,356.047921,355.733213,354.266499,357.652416,357.653330,357.461954,357.668743,357.668743,357.669183,357.131934,357.132367,357.783390,357.783677,357.667799,357.677087
2002,,358.455337,363.810078,364.314028,361.189739,361.189739,360.369965,359.867849,360.362706,360.372507,360.069609,358.296262,361.862291,361.861388,361.966481,362.209094,362.209094,362.209546,361.540446,361.540810,362.536534,362.536530,362.424932,362.433835
2003,,,371.700513,374.165002,373.436267,373.873422,373.881605,373.063674,373.618823,373.668236,367.471870,364.605104,368.035404,368.345977,368.784964,369.725835,369.725553,369.726018,369.279981,369.279512,369.441741,369.629677,370.784412,370.793080
2004,,,,383.884481,379.101993,379.374091,378.948816,379.366117,379.687416,379.716608,381.119012,376.669864,380.942187,381.519262,382.021098,383.204945,383.204651,383.205122,382.821980,382.820890,382.873454,383.159025,382.004893,382.013433
2005,,,,,385.613034,385.613034,382.663048,381.838821,382.311317,382.394348,384.758753,380.440454,384.741344,385.581133,385.807300,386.515212,386.514917,386.513454,386.155034,386.153533,386.205375,386.176008,385.081499,385.090166
2006,,,,,,390.435500,390.608519,386.605842,387.059405,387.095187,389.451917,385.969336,390.464069,391.134101,391.363832,392.681873,392.681873,392.680646,392.385871,392.384302,392.436333,392.359953,391.372529,391.380873
