"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,421.450838,54.343673,1.678105,205.860344,158.230459,1.338257
1991,417.316822,49.666527,1.665636,203.542354,161.117727,1.324577
1992,406.323917,48.754123,1.607534,195.081567,159.548764,1.331929
1993,408.012856,46.331437,1.643155,200.448726,158.259470,1.330068
1994,396.247385,39.518188,1.679294,199.814264,153.910596,1.325043
1995,393.002403,40.404292,1.685818,202.862683,146.726987,1.322623
1996,380.540294,39.447488,1.682062,199.294209,138.794191,1.322344
1997,368.439588,36.949949,1.715603,195.920029,132.532501,1.321506
1998,361.558183,36.206936,1.749708,194.989123,127.284116,1.328300
1999,354.504954,36.361064,1.705557,192.957118,122.160825,1.320390
2000,346.157227,35.876158,1.718002,189.911752,117.327762,1.323554
2001,339.123406,36.497780,1.691619,186.921259,112.690747,1.322001
2002,333.988525,35.214241,1.743213,183.045042,112.648334,1.337695
2003,331.227163,34.953206,1.692081,180.991089,112.241406,1.349380
2004,331.038728,33.462271,1.696813,180.550561,114.007641,1.321443
2005,321.363107,32.189914,1.767776,178.357609,107.725264,1.322543
2006,316.639364,32.839722,2.239540,177.938487,102.295047,1.326567
2007,312.599685,32.572130,2.231764,179.289844,97.182611,1.323336
2008,307.369018,32.149507,2.093092,179.046257,92.755816,1.324346
2009,303.590273,32.162821,2.037445,182.065354,85.999698,1.324956
2010,299.486351,33.664559,2.058446,182.311837,80.126809,1.324700
2011,291.102873,32.239424,2.086376,180.628036,74.824775,1.324262
2012,286.229085,32.997336,2.080259,179.625572,70.199757,1.326160
2013,281.871250,32.641523,2.168725,180.543462,65.188868,1.328671
2014,276.100127,30.348469,2.088907,181.761576,60.575951,1.325224
2015,272.952531,30.294433,2.096410,182.408082,56.820236,1.333368
2016,270.568702,30.287898,2.080129,183.424721,53.454107,1.321847
2017,269.182978,31.431944,2.077874,184.210203,50.138652,1.324305
2018,261.760156,28.369699,2.014735,182.577444,47.471331,1.326947
2019,257.318359,27.660701,2.076762,180.807322,45.449115,1.324459
2020,254.263700,26.885661,2.118462,180.349399,43.580565,1.329614
2021,255.237212,28.399479,2.088260,181.744455,41.667817,1.337201
2022,251.515495,25.391626,2.157300,182.950082,39.670388,1.346100
2023,247.487901,24.154325,2.135200,181.785620,38.079474,1.333283
