"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,64.315162,52.834762,12.091182,8.580705,4.564554,-13.756041
1991,62.515443,56.444259,11.999077,8.497862,4.643809,-19.069564
1992,62.096556,51.908832,10.929024,8.153956,4.591894,-13.487150
1993,60.415732,52.254314,10.977211,8.261745,4.562587,-15.640125
1994,62.965252,51.783684,11.585749,8.227137,4.450942,-13.082262
1995,60.630301,54.328726,12.088238,8.353311,4.256702,-18.396676
1996,67.130269,58.346254,11.436972,8.245430,4.041456,-14.939844
1997,59.354713,57.201375,12.381644,8.215115,3.869248,-22.312669
1998,60.550489,57.054960,12.171880,8.226216,3.727686,-20.630253
1999,57.751444,55.959751,12.038215,8.131303,3.590315,-21.968140
2000,61.959032,55.459018,13.084190,8.012706,3.463124,-18.060007
2001,59.266561,59.625509,12.788436,7.935737,3.340227,-24.423347
2002,69.460691,60.791695,13.387031,7.824204,3.342048,-15.884286
2003,79.725382,66.299888,13.368749,7.684152,3.332852,-10.960259
2004,74.638959,66.401274,13.011022,7.647000,3.391654,-15.811990
2005,76.331095,66.888561,13.869494,7.578062,3.222673,-15.227694
2006,80.654156,64.096742,14.399403,7.567064,3.072616,-8.481669
2007,78.261958,60.663846,15.108030,7.567267,2.929409,-8.006594
2008,75.846605,59.708728,15.457670,7.672776,2.803715,-9.796285
2009,69.662972,56.568639,12.273136,7.712660,2.613755,-9.505218
2010,71.832293,59.452579,14.089222,7.574059,2.450160,-11.733727
2011,70.282302,57.141241,14.219823,7.645024,2.303329,-11.027115
2012,69.351788,54.996593,13.751774,7.583911,2.175734,-9.156226
2013,73.832270,55.169320,14.080740,7.569877,2.032040,-5.019706
2014,65.336590,51.439402,14.120268,7.699078,1.905537,-9.827695
2015,73.199716,53.218329,14.536682,7.726952,1.802740,-4.084986
2016,70.038166,54.440523,14.165122,7.842579,1.714625,-8.124683
2017,76.005736,56.153958,14.878928,7.780575,1.622573,-4.430298
2018,78.982657,54.708344,13.211694,7.683128,1.548185,1.831307
2019,84.395800,55.092552,14.226931,7.579147,1.495250,6.001920
2020,71.534753,50.141787,13.329773,7.568287,1.444777,-0.949871
2021,72.749861,52.042401,15.068093,7.606928,1.394184,-3.361744
2022,71.400147,48.434410,14.261376,7.573436,1.337397,-0.206472
2023,74.407953,44.451333,13.654498,7.476994,1.295142,7.529985
