"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1990,0.051345,0.937984,54649.679331,7231077
1991,0.050074,0.901265,54267.131475,7314308
1992,0.056174,0.771818,42002.759737,7405780
1993,0.048406,0.669529,32300.122528,7504115
1994,0.041945,0.615113,25936.998157,7608893
1995,0.033309,0.578333,22876.432444,7719282
1996,0.031242,0.474267,23173.825943,7830982
1997,0.029843,0.454157,24517.907851,7936221
1998,0.031785,0.455923,26969.698921,8025804
1999,0.028822,0.454872,28965.456530,8100471
2000,0.029765,0.475399,32180.622061,8174785
2001,0.028415,0.458019,35366.503687,8251771.000000
2002,0.028570,0.452191,38704.718383,8326133
2003,0.030488,0.489727,42655.812154,8400530
2004,0.032253,0.554033,46603.096265,8489874
2005,0.034194,0.600615,59634.038768,8597248
2006,0.034522,0.590730,80207.782144,8711380
2007,0.030037,0.543856,100259.727680,8828311
2008,0.033037,0.544189,111046.649880,8942638
2009,0.029103,0.468606,121369.950080,9046336
2010,0.027549,0.462382,127497.851580,9146851
2011,0.030210,0.524661,127625.349430,9256150
2012,0.032770,0.540327,130388.743820,9376181
2013,0.033559,0.555162,137964.070290,9504409
2014,0.034345,0.566069,141758.781740,9631138
2015,0.034683,0.618574,143309.588570,9752850
2016,0.034727,0.612692,138866.991330,9868428
2017,0.034698,0.601034,139144.725310,9968510
2018,0.034576,0.634200,141231.896190,10039784
2019,0.037753,0.669206,144762.693590,10110475
2020,0.036237,0.665743,138537.897770,10181730
2021,0.038300,0.711178,146321.850380,10234371
2022,0.041175,0.757031,150484.909600,10295304
2023,0.042748,0.782759,154405.930510,10318207
2024,0.039830,0.749346,158215.613780,10336577
