"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
2005,0.669594,0.094520,,0.017420,0.489823,0.067831
2006,0.694623,0.092189,,0.026014,0.501570,0.074849
2007,0.707939,0.094225,,0.019901,0.515110,0.078703
2008,0.712433,0.097070,,0.028597,0.521642,0.065124
2009,0.718385,0.096849,,0.016823,0.535242,0.069471
2010,0.752017,0.099146,,0.041101,0.547021,0.064749
2011,0.802604,0.104045,,0.063083,0.573711,0.061766
2012,0.886790,0.109274,,0.121803,0.591921,0.063792
2013,0.880588,0.111691,,0.087529,0.610208,0.071160
2014,0.891069,0.111688,,0.091515,0.628499,0.059368
2015,0.968500,0.119032,,0.130558,0.636364,0.082546
2016,1.108533,0.128435,,0.184580,0.726468,0.069050
2017,1.163760,0.136710,,0.226506,0.744632,0.055913
2018,1.198764,0.136096,,0.245839,0.762567,0.054263
2019,1.245586,0.141715,,0.270408,0.780176,0.053288
2020,1.257371,0.146515,,0.261067,0.797370,0.052419
2021,1.630331,0.150791,,0.614013,0.814534,0.050994
2022,1.402461,0.155789,,0.364062,0.834820,0.047791
2023,1.956760,0.157079,,0.904693,0.848401,0.046588
