"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,31.785803,1.902380,13.453207,16.010794,0.410771,0.008650
1991,31.415871,1.972591,13.123302,15.887978,0.414953,0.017048
1992,30.206238,1.979929,12.083999,15.692535,0.424259,0.025516
1993,30.814378,1.977914,12.872121,15.505013,0.425026,0.034303
1994,32.606676,2.089708,14.547507,15.513094,0.413459,0.042908
1995,34.174590,2.101634,15.685152,15.919269,0.417026,0.051509
1996,35.399974,2.231227,17.123530,15.549708,0.422196,0.073313
1997,34.380643,2.247077,16.085638,15.522997,0.455273,0.069658
1998,34.498298,2.297639,16.273003,15.389322,0.459458,0.078877
1999,33.884237,2.247169,15.759298,15.320489,0.469308,0.087973
2000,31.618487,2.358276,15.322079,13.395911,0.444904,0.097318
2001,30.426391,2.292002,14.725523,12.858861,0.443179,0.106826
2002,29.196110,2.294421,13.354638,12.984140,0.446371,0.116540
2003,26.133517,2.367915,10.879137,12.317885,0.442358,0.126221
2004,26.798738,2.410125,11.363784,12.433506,0.455341,0.135981
2005,26.103704,1.999244,11.381657,12.118294,0.458627,0.145882
2006,23.200721,2.037467,8.654889,11.891927,0.460554,0.155884
2007,21.294638,2.215130,6.552844,11.933061,0.427602,0.166001
2008,21.330402,2.534931,6.519938,11.683946,0.415403,0.176185
2009,21.535494,2.266929,6.874320,11.798344,0.409436,0.186465
2010,23.565916,2.412224,8.696506,11.835211,0.431654,0.190321
2011,19.368316,2.338542,4.855213,11.538750,0.436601,0.199210
2012,19.489408,2.462605,5.026729,11.367786,0.434425,0.197863
2013,18.888407,2.283188,4.541346,11.446145,0.418976,0.198752
2014,18.773553,2.263918,4.258943,11.648467,0.403345,0.198880
2015,18.451258,2.699683,3.656134,11.492373,0.404160,0.198908
2016,18.150737,2.388798,3.677073,11.479636,0.404729,0.200501
2017,18.147618,2.456604,3.627939,11.454528,0.406526,0.202021
2018,17.471700,2.828017,2.989053,11.065470,0.385635,0.203525
2019,17.281361,2.581141,2.792970,11.285289,0.415376,0.206585
2020,16.754924,2.364895,2.603248,11.151910,0.426957,0.207914
2021,16.564217,2.519636,2.442002,10.958468,0.434311,0.209800
2022,15.434178,2.462328,2.131110,10.201364,0.429872,0.209504
2023,15.118896,2.271791,1.583199,10.573294,0.479564,0.211049
2024,14.486610,2.289080,1.322490,10.209381,0.454800,0.210859
