"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1990,142.617370,103.813314,25.505627,11.323490,4.824221,-2.849282
1991,145.839604,107.454248,24.550911,11.253556,4.974935,-2.394046
1992,145.508968,105.780329,25.702897,11.153014,5.096269,-2.223541
1993,144.230553,105.658891,24.888835,11.186476,4.740887,-2.244536
1994,149.067575,107.375326,27.627077,11.189109,4.878539,-2.002476
1995,150.941862,107.667560,29.270553,11.382933,4.860806,-2.239990
1996,154.290837,111.993714,28.765930,11.190202,4.785324,-2.444333
1997,146.231815,106.167072,26.149381,11.083438,4.839117,-2.007193
1998,150.942591,110.544210,27.300063,10.984731,4.685368,-2.571782
1999,144.915917,105.201506,26.464782,10.975038,4.414507,-2.139916
2000,146.502130,106.087384,27.683686,10.221972,4.239282,-1.730194
2001,145.079513,106.508062,26.312459,10.032981,3.796280,-1.570268
2002,144.496108,106.842686,26.196711,9.856727,3.773703,-2.173720
2003,144.909170,107.964047,26.125742,9.457913,3.440375,-2.078908
2004,146.054072,107.791989,27.125721,9.431390,3.516747,-1.811776
2005,142.817586,105.514984,26.527339,9.267962,3.373093,-1.865791
2006,140.217198,103.764426,25.808279,9.143064,3.352925,-1.851497
2007,136.850474,101.620577,24.284802,9.221572,3.281959,-1.558436
2008,136.899413,101.270463,24.921153,9.125621,3.075182,-1.493006
2009,124.435317,94.668753,19.011690,9.183406,2.908399,-1.336930
2010,132.489991,99.263625,21.671739,9.230148,2.809128,-0.484649
2011,122.080406,89.797092,21.131064,9.062612,2.536450,-0.446813
2012,119.287113,88.926657,19.397986,9.024948,2.445126,-0.507605
2013,118.966117,88.690948,20.074905,9.008083,2.108422,-0.916241
2014,113.182556,82.734801,20.390871,9.097403,1.923326,-0.963845
2015,117.567983,86.955968,20.459249,9.110285,1.894104,-0.851623
2016,116.201591,85.106202,20.993432,9.125490,1.772526,-0.796060
2017,115.696183,84.637469,20.935306,9.005574,1.800841,-0.683007
2018,116.500097,85.308696,21.245615,8.911034,1.684832,-0.650079
2019,115.648990,85.582752,19.937678,8.945302,1.601498,-0.418241
2020,106.299483,78.580533,17.743785,8.899911,1.511530,-0.436276
2021,109.082306,81.627640,17.570366,8.813482,1.449546,-0.378727
2022,102.070593,76.276202,16.538849,8.508820,1.305092,-0.558370
2023,97.446988,73.047038,14.928947,8.548336,1.290424,-0.367757
2024,97.414476,72.881840,15.682967,8.284267,1.163335,-0.597933
