"Year","Coal","Oil","Gas","Cement"
1950,68.198418,6.239492,0.007328,1.758994
1951,79.695664,7.558832,0.029312,2.173302
1952,73.023520,8.353920,0.058624,2.031565
1953,70.429408,9.596016,0.069616,2.285965
1954,72.935584,10.588960,0.054960,2.162399
1955,76.812702,12.816162,0.076941,2.318581
1956,80.150000,14.241968,0.091600,2.304136
1957,77.786009,16.276106,0.106260,2.326030
1958,66.761744,18.818304,0.106256,2.006125
1959,66.424656,19.606064,0.091600,2.195108
1960,67.914977,20.768389,0.062291,2.169755
1961,66.993593,23.287464,0.069613,2.351382
1962,68.547214,27.035646,0.076941,2.365831
1963,71.290448,32.001376,0.069616,2.325861
1964,65.028672,35.570112,0.073280,2.889256
1965,61.842505,40.478464,0.095261,2.918330
1966,58.195312,43.843424,0.201520,2.863716
1967,56.876272,46.686688,0.926992,2.874719
1968,58.470112,54.740160,2.392592,2.838376
1969,55.888998,59.552889,4.953581,3.099952
1970,49.003766,65.331027,7.837525,3.325370
1971,40.410256,66.750752,10.816128,3.397033
1972,42.133517,71.468323,13.597485,3.442012
1973,45.239408,73.631744,16.381744,3.389828
1974,48.461378,63.777314,19.152247,3.562822
1975,38.481836,61.436107,18.652864,3.252323
1976,41.267632,64.984704,19.913840,3.515086
1977,38.829947,64.096159,19.671446,3.601776
1978,43.646746,68.819106,19.503998,3.480324
1979,47.106816,67.859170,21.312931,3.507697
1980,47.159344,63.914816,20.390160,3.371572
1981,46.214032,55.568224,18.807312,2.987719
1982,45.640208,53.147978,15.524852,2.796198
1983,36.636336,45.770688,16.293808,2.504674
1984,42.011424,43.671216,16.814096,2.473468
1985,40.718032,44.147536,16.770128,2.376124
1986,36.067130,50.378204,13.483039,2.445713
1987,36.458096,48.644994,15.096217,2.393070
1988,33.132341,49.033520,14.900944,2.683342
1989,40.069504,47.397504,16.557616,2.767576
1990,41.393525,53.248564,19.826414,2.823783
1991,40.122108,55.933653,21.595735,2.880464
1992,38.118491,56.360762,22.177297,3.088580
1993,36.561769,55.845630,23.188824,3.082261
1994,38.012820,57.233934,23.677048,3.178670
1995,36.955415,56.621138,26.284202,3.255310
1996,34.203417,60.415299,29.191717,3.008771
1997,31.915682,58.479818,27.721022,3.161908
1998,33.213779,60.233034,30.850674,3.174828
1999,28.931275,56.899764,32.956867,3.113233
2000,31.671609,55.594856,33.187075,3.270299
2001,28.289752,58.887562,32.914294,2.957389
2002,28.636592,58.704656,33.235087,2.993247
2003,27.766146,59.395810,34.972618,2.933470
2004,28.251919,59.311190,34.963168,2.837048
2005,26.195950,57.578013,35.623653,2.933953
2006,25.337382,56.542031,35.371078,3.111969
2007,23.158202,55.086321,35.620771,3.087423
2008,23.259024,54.707815,35.670639,3.032533
2009,15.162389,50.706040,36.467949,2.795202
2010,17.526192,51.152816,40.339217,2.582486
2011,16.688971,48.219595,34.572118,2.761552
2012,15.078114,47.133132,34.911039,2.642587
2013,15.269164,47.228807,35.271801,2.541374
2014,14.725232,46.312576,30.995214,2.642982
2015,14.381215,48.236763,33.811740,2.348126
2016,13.476286,47.123811,34.369481,2.435800
2017,13.246920,46.258093,35.029791,2.291409
2018,13.296542,45.875498,36.103554,2.534383
2019,13.156461,45.340648,36.223552,2.819306
2020,10.465875,40.097619,36.072591,2.634278
2021,11.761746,42.152248,36.281468,2.659814
2022,11.903091,41.465586,31.173761,2.456034
2023,10.431393,41.187995,29.154714,2.180595
2024,11.492162,41.959669,28.075110,2.180595
