"Year","Forest land","Cropland","Grassland","Wetlands","Settlements","Other land","HWP","Other"
1990,0,0,0,0,0,0,,0.003111
1991,59.561341,-44.267298,12.237634,0.003078,-0.004187,0,,0.003239
1992,60.042135,-44.356075,12.126706,0.003097,-0.004296,0,,0.003367
1993,60.293070,-44.444852,12.015778,0.003116,-0.004404,0,,0.003495
1994,60.686344,-44.533629,11.904850,0.003134,-0.004513,0,,0.003624
1995,61.084896,-44.622406,11.793921,0.003153,-0.004622,0,,0.003752
1996,61.530048,-44.711183,11.682993,0.003172,-0.004731,0,,0.004345
1997,61.980185,-44.799961,11.572065,0.003191,-0.004840,0,,0.004939
1998,62.400794,-44.888738,11.461137,0.003210,-0.004948,0,,0.005533
1999,62.830435,-44.977515,11.350209,0.003229,-0.005057,0,,0.006126
2000,58.168375,-45.137043,11.239280,0.003247,-0.005166,0,,0.006720
2001,61.461637,-45.173194,11.128352,0.003266,-0.005275,0,,0.007314
2002,64.844705,-44.930942,11.017424,0.003285,-0.005384,0,,0.007907
2003,66.030646,-45.426420,10.906496,0.003304,-0.005492,0,,0.008501
2004,70.881036,-45.408259,10.795567,0.003323,-0.005601,0,,0.009095
2005,73.203618,-45.496805,10.684639,0.003342,-0.005710,0,,0.009702
2006,65.489330,-45.727822,10.573711,0.003361,-0.005819,0,,0.010360
2007,66.282669,-45.724316,10.462783,0.003379,-0.005928,0,,0.011018
2008,61.926443,-45.824491,10.351855,0.003398,-0.006036,0,,0.011676
2009,65.895845,-45.910385,10.240926,0.003417,-0.006145,0,,0.012334
2010,81.776437,-44.671605,11.065807,0.016016,-0.013544,0.005503,,0.013020
2011,85.336178,-46.360976,10.098904,0.016388,-0.014545,0,,0.013710
2012,73.003845,-47.057845,9.996885,0.017000,-0.015038,0,,0.014429
2013,80.481874,-47.128708,9.894866,0.017612,-0.015530,0,,0.014568
2014,78.874214,-47.264582,9.792685,0.018225,-0.016023,0,,0.014709
2015,69.913156,-47.349411,9.690611,0.018837,-0.016515,0,,0.014744
2016,81.284595,-47.368852,9.588538,0.019449,-0.017008,0,,0.015532
2017,81.252015,-47.486010,9.486411,0.020062,-0.017500,0,,0.018002
2018,75.963044,-47.504491,9.384392,0.020674,-0.017993,0,,0.019499
2019,75.831475,-47.566589,9.282360,0.021286,-0.018485,0,,0.019962
2020,73.463157,-47.609648,9.192500,0.021899,-0.018978,0,,0.020939
2021,84.589493,-47.647324,9.096373,0.022511,-0.019470,0,,0.021503
2022,0,0,0,0,0,0,,0
