"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,0.130500,,0.075600,0.064500
1962,0.117200,,0.088400,0.087400
1963,0.079500,,0.093000,0.048000
1964,0.083700,,0.095800,0.038700
1965,0.105500,,0.101800,0.082200
1966,0.096900,,0.118200,0.163200
1967,0.113700,,0.129800,0.341000
1968,0.166000,,0.147600,0.425500
1969,0.175200,,0.194400,0.357500
1970,0.189700,,0.203000,0.435700
1971,0.200800,,0.224800,0.428900
1972,0.188500,,0.233800,0.376000
1973,0.178200,,0.249000,0.394500
1974,0.231300,,0.258800,0.379700
1975,0.210600,,0.249400,0.394000
1976,0.193700,0.000120,0.236600,0.369100
1977,0.172000,0.000140,0.177800,0.407200
1978,0.181300,0.000070,0.236800,0.404100
1979,0.152000,0.000060,0.230800,0.219000
1980,0.169000,0.000100,0.256000,0.321700
1981,0.184000,0.000400,0.237400,0.330700
1982,0.149000,0.000100,0.226800,0.319200
1983,0.170000,0.000100,0.216000,0.381900
1984,0.170000,0.000100,0.228800,0.374600
1985,0.260000,0.000100,0.223800,0.279200
1986,0.260000,0.000100,0.209200,0.405800
1987,0.170000,0.000100,0.273600,0.336500
1988,0.130000,0.000100,0.200800,0.223500
1989,0.110000,0.000100,0.200000,0.134800
1990,0.085000,0.000100,0.169000,
1991,0.072000,0.000100,0.103400,0.000711
1992,0.031129,0.007943,0.014044,0.129185
1993,0.022000,0.001064,0.059000,0.000210
1994,0.000600,0.003676,0.094000,0.001900
1995,0.005700,0.003800,0.049200,0.001900
1996,0.026700,0.006500,0.138800,0.002500
1997,0.017900,0.018700,0.182200,0.001000
1998,0.002500,0.014379,0.190200,0
1999,0.008000,0.024000,0.222000,0.051000
2000,0.018000,0.040070,0.260000,0.105000
2001,0.011000,0.065413,0.288000,0.124068
2002,0.007000,0.134584,0.320000,0.071000
2003,0.007000,0.134580,0.320000,0.071000
2004,0.020000,0.127200,0.371100,0.078000
2005,0.075840,0.165730,0.424000,0.048037
2006,0.028000,0.225000,0.448000,0.052211
2007,0.039559,0.699770,0.538468,0.135536
2008,0.060579,0.746126,0.555822,0.205489
2009,0.023986,0.455306,0.512424,0.044829
2010,0.014145,0.293126,0.526998,0.039815
2011,0.015941,0.233258,0.549746,0.060132
2012,0.030202,0.222061,0.578942,0.060230
2013,0.021333,0.213069,0.592406,0.044224
2014,0.019960,0.230380,0.633240,0.032380
2015,0.023963,0.243925,0.650304,0.015313
2016,0.029615,0.252629,0.659596,0.013558
2017,0.031412,0.279834,0.614224,0.015631
2018,0.056036,0.340891,0.653694,0.018354
2019,0.058958,0.359250,0.651928,0.018609
2020,0.050198,0.291870,0.641472,0.013899
2021,0.046519,0.308130,0.729052,0.036130
2022,0.093178,0.431431,0.748592,0.062010
2023,0.105864,0.380116,0.745478,0.046685
