"Year","Fossil CO2 (Gt)","Energy (EJ)","GDP-PPP ($m)","Population (people)"
1965,0.046269,0.431732,34091.230918,8245072
1966,0.048716,0.462836,36764.366299,8308899.000000
1967,0.055108,0.537626,38756.085619,8369836.000000
1968,0.059464,0.600975,39454.281733,8438288
1969,0.066308,0.669844,41404.415705,8512919
1970,0.061174,0.753690,43726.629110,8582950
1971,0.064222,0.784789,46731.717711,8646260
1972,0.066079,0.807546,50423.329346,8700153
1973,0.068717,0.839065,54463.674253,8753489
1974,0.071137,0.864110,58586.460289,8810675
1975,0.072922,0.955126,63739.395659,8860971
1976,0.072965,1.011614,67951.188932,8902474
1977,0.075796,1.066056,72157.145667,8935452
1978,0.081207,1.103840,76196.761004,8958267
1979,0.078928,1.145713,81266.525681,8974427
1980,0.077251,1.209571,85898.705688,8980606
1981,0.080087,1.191724,90107.881302,8978412
1982,0.089844,1.220853,92211.508895,8970485
1983,0.090061,1.229140,95374.645737,8956433
1984,0.087045,1.222016,98613.991810,8939490
1985,0.089221,1.212763,101260.239840,8917076
1986,0.091172,1.237084,105520.867720,8892100
1987,0.091273,1.246661,111909.643260,8865755
1988,0.089656,1.275727,124157.809110,8835815
1989,0.088206,1.264637,120073.163610,8804430
1990,0.076741,1.167869,109125.640490,8767778
1991,0.061623,0.945352,99909.592562,8721660
1992,0.057456,0.889528,92643.779343,8668540
1993,0.058492,0.948965,91272.452449,8611535
1994,0.056460,0.912744,92931.795855,8548466
1995,0.057998,0.981574,95585.046072,8477579
1996,0.058541,0.978863,100560.624790,8401376
1997,0.055891,0.925721,86366.107881,8318966
1998,0.053212,0.890137,89638.625275,8234927
1999,0.046471,0.782123,82112.485001,8162301
2000,0.045592,0.782558,85879.169950,8097691
2001,0.049117,0.808442,89162.934682,8034860
2002,0.046235,0.784218,94398.519744,7974810
2003,0.050587,0.811269,99342.315828,7917739
2004,0.049624,0.784494,105809.925500,7865316
2005,0.050685,0.849908,113276.241130,7815221
2006,0.051922,0.866523,120981.957120,7766036
2007,0.055751,0.837503,128956.339730,7719035
2008,0.054109,0.828805,136843.333520,7674913
2009,0.045837,0.727583,132366.019230,7634735
2010,0.047900,0.761296,134406.839990,7592273
2011,0.053205,0.808584,137231.001950,7543130
2012,0.048361,0.768342,138267.001120,7488344
2013,0.042726,0.713190,137492.023330,7431167
2014,0.045251,0.761581,138821.391980,7372141
2015,0.048204,0.808850,143580.265770,7309253
2016,0.045419,0.767223,147944.855030,7245975
2017,0.047521,0.785428,152031.342690,7182428
2018,0.043577,0.787731,156112.741060,7117431
2019,0.042267,0.761585,162415.935450,7052532
2020,0.036644,0.703346,155290.506340,6979175
2021,0.042425,0.798824,161778.345960,6885868
2022,0.046966,0.826111,166955.906830,6781953
2023,0.036094,0.717363,174468.257620,6687717
