"Year","Living biomass (net)","Dead wood (net)","Litter (net)","Mineral Soils (net)","Organic Soils (net)"
1988,-15.228553,-0.313493,-0.926101,0.195249,
1990,-15.361541,-0.322166,-0.845190,0.175197,
1991,-15.410759,-0.327261,-0.797151,0.163575,
1992,-15.467897,-0.332202,-0.743398,0.150747,
1993,-15.538454,-0.337762,-0.682917,0.136608,
1994,-15.603702,-0.343309,-0.622475,0.122517,
1995,-15.670784,-0.348853,-0.561933,0.108480,
1996,-14.812178,-0.354436,-0.501391,0.094468,
1997,-14.906135,-0.360012,-0.440849,0.080512,
1998,-14.998621,-0.365586,-0.380359,0.066514,
1999,-15.075380,-0.370301,-0.329067,0.054432,
2000,-15.116816,-0.374052,-0.287634,0.044494,
2001,-12.099289,-0.448891,-0.250696,0.035565,
2002,-12.086497,-0.451446,-0.218013,0.027568,
2003,-12.085125,-0.454016,-0.188990,0.020344,
2004,-12.072176,-0.455854,-0.163320,0.013846,
2005,-12.085125,-0.458796,-0.143942,0.008649,
2006,-10.038696,-0.460112,-0.129449,0.004523,
2007,-10.036727,-0.461040,-0.119070,0.001278,
2008,-10.024483,-0.461297,-0.119996,0.001814,
2009,-10.036977,-0.461635,-0.120031,0.002348,
2010,-9.988244,-0.461508,-0.120344,0.002865,
2011,-6.328878,-0.532640,-0.117237,0.003589,
2012,-6.287077,-0.534884,-0.114149,0.004304,
2013,-6.243886,-0.537078,-0.111594,0.005026,
2014,-6.211119,-0.539311,-0.108618,0.005645,
2015,-6.080102,-0.543269,-0.106281,0.006294,
2016,-7.398609,-0.817527,-0.103788,0.006884,
2017,-7.368616,-0.817501,-0.101324,0.007415,
2018,-7.345994,-0.817575,-0.098413,0.007920,
2019,-7.306008,-0.817537,-0.096016,0.008539,
2020,-7.284758,-0.817584,-0.093123,0.009023,
2021,-7.300123,-0.822550,-0.088992,0.009205,
2022,-7.232885,-0.823247,-0.088136,0.010012,
2023,-7.160921,-0.823792,-0.091445,0.011684,
2024,-7.233784,-0.824265,-0.090519,0.012473,
