"Year","Total","Energy industries","Manufacturing","Transport","Other sectors","Other","Fugitive: Solid fuels","Fugitive: Oil & Gas"
1990,102.313393,62.183239,8.461472,12.503969,17.670012,1.494702,,
1991,98.461136,58.456504,8.233649,13.405968,16.906197,1.458818,,
1992,88.296532,54.607514,5.479039,12.238736,15.013622,0.957621,,
1993,76.614749,45.723514,5.881705,10.499270,13.739015,0.771246,,
1994,64.980832,41.893203,4.419286,7.353489,10.422600,0.892254,,
1995,57.682639,36.109989,3.637576,7.167714,9.787749,0.979611,,
1996,58.508340,35.990589,3.838156,7.709460,9.989404,0.980730,,
1997,57.971376,36.792924,3.851111,8.112141,8.411211,0.803989,,
1998,56.169745,34.881401,4.374123,8.512054,7.551321,0.850845,,
1999,54.195183,34.192846,4.186877,7.517470,7.357715,0.940275,,
2000,51.455277,32.411090,3.120017,6.779244,7.913312,1.231614,,
2001,50.503755,32.463512,3.160492,6.431207,7.119457,1.329086,,
2002,50.231146,31.993483,3.129524,6.937236,6.905670,1.265232,,
2003,50.790435,31.929259,3.482088,7.159945,6.859730,1.359413,,
2004,53.774790,34.233160,3.765472,7.304323,6.839828,1.632007,,
2005,54.454139,33.637688,3.905755,8.073993,7.183552,1.653152,,
2006,56.764533,34.274362,3.870922,9.458932,7.476424,1.683893,,
2007,55.110412,32.145841,4.118705,9.525183,7.545174,1.775509,,
2008,57.666348,33.066261,4.310540,10.829795,7.833897,1.625855,,
2009,55.523150,32.239244,3.764674,10.586751,7.418146,1.514336,,
2010,57.068877,33.019933,4.129620,11.104233,7.580364,1.234725,,
2011,56.102651,30.920217,4.523511,11.609734,7.724178,1.325011,,
2012,57.009915,33.078893,4.763508,11.404584,6.481452,1.281478,,
2013,58.874014,32.519707,5.135212,12.635672,7.318063,1.265361,,
2014,57.816982,32.273988,5.245081,11.950083,6.990229,1.357601,,
2015,53.533065,30.516023,4.419196,10.751237,6.567262,1.279348,,
2016,53.219318,29.583965,4.375841,11.170475,6.866746,1.222291,,
2017,54.317269,29.836860,4.514483,11.672610,7.162871,1.130445,,
2018,57.265531,31.974137,4.578341,12.283828,7.343895,1.085331,,
2019,56.846513,31.657104,4.795519,12.296084,7.035320,1.062488,,
2020,53.814222,30.388677,4.630172,11.070590,6.910236,0.814548,,
2021,55.688053,31.403683,4.564206,11.121537,7.552326,1.046300,,
2022,52.241369,30.213582,4.294320,9.831464,7.401326,0.500677,,
2023,50.691230,28.951621,3.938195,9.753661,7.125159,0.922594,,
