"Year","Sawnwood","Wood panels","Paper & paper products","Roundwood"
1961,,,,
1962,,,,
1963,,,,
1964,,,,
1965,,,,
1966,,,,
1967,,,,
1968,,,,
1969,,,,
1970,,,,
1971,,,,
1972,,,,
1973,,,,
1974,,,,
1975,,,,
1976,,,,
1977,,,,
1978,,,,
1979,,,,
1980,,,,
1981,,,,
1982,,,,
1983,,,,
1984,,,,
1985,,,,
1986,,,,
1987,,,,
1988,,,,
1989,,,,
1990,,,,
1991,,,,
1992,1.693000,0.574000,0.534000,11.396000
1993,1.545000,0.476000,0.350000,10.031000
1994,1.545000,0.374000,0.262000,10.015000
1995,1.545000,0.374000,0.262000,10.015000
1996,1.545000,0.373000,0.262000,15.707000
1997,1.545000,0.392000,0.262000,17.585000
1998,2.131000,0.500000,0.390400,5.902000
1999,2.174700,0.541700,0.416800,6.561100
2000,1.807700,0.563300,0.471000,6.135800
2001,2.058000,0.615700,0.447000,6.485000
2002,2.182000,0.654300,0.432000,6.947000
2003,2.303500,0.832400,0.558600,7.542300
2004,2.727000,0.864500,0.514000,8.622000
2005,2.737000,0.887500,0.567800,8.696000
2006,2.458000,0.866000,0.570000,8.756100
2007,2.458000,0.866000,0.570000,8.756100
2008,2.458000,0.866000,0.570000,8.756100
2009,2.378700,0.458982,0.948400,8.811800
2010,2.570900,0.477999,1.175500,10.364200
2011,2.570900,0.477999,0.714800,10.364200
2012,2.570900,0.780800,0.719600,18.067000
2013,2.557350,1.050300,0.616000,18.522300
2014,2.557350,1.724800,0.665400,19.568000
2015,2.875000,2.566578,0.592198,19.568000
2016,2.745000,3.363591,0.528000,21.071101
2017,3.559000,4.488745,0.593998,23.802015
2018,4.046000,4.933594,0.714000,28.590000
2019,5.355000,4.695126,0.736002,26.996400
2020,4.593000,4.733060,0.714000,27.049890
2021,4.593000,4.733060,0.714000,27.289590
2022,4.593000,4.733060,0.714000,25.693800
2023,4.593000,4.733060,0.714000,21.880800
