"Year","Total","Energy","Industrial Processes","Agriculture","Waste","LULUCF"
1994,18.474523,0.134692,,3.544928,14.794903,
2003,61.716054,0.000090,,3.821431,55.758621,2.135912
2006,27.805975,0.000062,,4.855103,21.153310,1.797500
2009,51.913291,0.000057,,6.080125,42.790209,3.042900
2012,58.351360,0.361691,,6.371413,47.184156,4.434100
2015,57.726815,0.423803,,6.717391,48.587920,1.997700
2017,69.350730,0.456231,,8.565717,55.503183,4.825600
2018,68.861551,0.506494,,9.779765,56.778692,1.796600
2019,74.173627,0.508620,,10.408710,58.040196,5.216100
2020,77.278261,0.448638,,10.589319,54.652804,11.587500
2021,74.041913,0.580239,,10.373738,60.076336,3.011600
2022,68.847452,0.497339,,11.078919,56.221094,1.050100
